source_text;target_text
por acaso estava com a cintura fendida o maldito, balançando?;i ku'a-bok serã moxy oatimunga?
devolveu seu pagamento aos príncipes;oîme'eng-îeby sepypûera morubixabetá supé
passo raramente;moîepenhombé akûab
por isso mesmo em sua grande força me apoio;nd'a'é te'e nde ratãngatu resé gûiîekoka
eu sou doido;xe 'angaingaíb
deve ter ido;osó ipó re'ĩ
o que deseja a justiça;tekokatu 'useîtara
será muito terrível futuramente para os que são maus?;i abaeté-katupe irã i angaîpaba'e supé?
mas procedendo de que modo se está como amigo do diabo?;marã oîkóbo-tepe asé anhanga rembiaûsubamo sekóû?
mirra, poção de polpa;mirra, mosanga to'o suí
homem falso;abá-memûã
apenas não me faça morrer;sa'ĩ na xe momanõî!
são numerosos os que te procuram;se'yî nde rekasara
Você violentou uma solteira antes de fazer mal a ela?;ereîukaípe mendare'yma i momoxy îanondé?
É terrível para mim vê-los.;i abaeté sepîaka ixébo
Ah, eles vão me vencer hoje!;xe reîtyk korine mã!
Ao se aproximar o doente da agonia, que chamem o padre.;mba'easybora o mara'ara kakareme, t'osenõîukar abaré
Diabo mau.;anhangaíba
Eia, então, sapo maneta!;ené, rõ, kururu-asyka!
Assim que ouvir o nome dela, eu me escondo em outra parte.;serenduba rupibé amongoty xe nhemimi
Nós estamos morrendo.;îamanõmo
Arroto fétido.;eú-rema
Eia, vamos levar adiante deles esta muçurana.;ene'ĩ, t'îarasó senondé kó musurana
Eu o escorei.;aîokok
Os que moram em Maratauá acreditam em minhas palavras.;marataûãme tekoara ogûerobîá xe nhe'enga
O que é o único filho dele?;ta'yra oîepeba'e
Livra-nos, você.;oré pysyrõ îepé
Eu o coloquei de boca para baixo.;oobapybo aîmoín
Conhecendo a Deus.;tupana kuapa
Ele te meteu pelo pescoço.;nde mondeb o aîurybo
Caiu no chão.;o'ar ybype
Embora eles fossem obra dele, alguns anjos se tornaram maus.;aûîeté a'e semimonhangûera, karaibebé amõ amõ oîemoangaîpab
Todos os que confessou com os que escondeu voltarão a confessar.;o emimombe'upûera o emikuakugûera irũmo bé i mombe'uîebyrine
Mas, de verdade.;anhẽ ruãp'anhẽ
Ele mesmo certamente me guarda.;a'e aé ipó xe rerekó
Eu estou adoentado.;xe mba'easyaíb
Mulher corajosa.;kunhã-pyatã
Eu estrebuchei.;ababak
Você tomou remédio, não querendo ficar grávida?;ereposangu'upe nde puru'apotare'ymamo?
Comendo-o ansiosamente sempre.;korikoria'u i gûabo îepi
Eis que esses meus valentões sabem assassinar.;kó a'e xe kyre'ymbaba oîkuá morapiti
Suportando a grande noite, estamos muito aflitos.;putunusu porarábo, oroîkotebẽngatu
Dar também o dízimo naquilo que plantou primeiro.;o emitymbûerypy pupé tupã potá-me'engano
você acreditou nas mentiras de alguém?;ererobîápe abá remo'ema?
nós nos enfileiramos;oroîoysyrung
você ofendeu sua avó?;ereîanga'ope nde aryîa?
eu desapareci de vista;xe apykanhem
jejuar sempre que a santa mãe igreja mandar jejuar;santa madre igreja îekuaku-pûaîa îabi'õ îekuakuba
foi pregado na cruz, foi morto, foi sepultado;ybyraîoasaba resé i moîarypyrûeramo sekóû, i îukapyrûeramo, i tymbyrûeramo
você vituperou seu pai, sua mãe, seu avô, sua avó?;ereîanga'ope nde ruba, nde sy, nde ramũîa, nde aryîa?
aqueles serão os futuros habitantes do fundo do nosso fogo;aîpó îandé ratá gûyra porama
o que é azul, o que é verde, o que é roxo;sobyba'e
cortei a cabeça dele;aîakã-mondok
estorva-me, Senhor Deus!;xe moarûá pa'i tupã!
a mulher obedece bem ao seu marido ao encarregá-la de boas coisas?;osapîá-katupe kunhã o mena tekó-katu resé o pûaîme?
um ou outro, por acaso, foi mau alguma vez;oîepé-ĩombé, nipó, i angaîpab amõme é
de algum lugar, de algum canto, de alguma parte;mamõ suí
dizendo a um canto de pássaro ou a um urro de onça que são agouros;gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo
vamos nos sentar aqui;pene'ĩ, rõ, t'îasó ké îagûapyka îakupa
eu sou um jaguaretê comedor de gente!;xe îagûareteporu!
que tenhamos, em sua terra, junto de você, a vida eterna;t'orogûerekó, setãme, nde pyri, tekopuku
não ficou ninguém no lugar da batalha;n'opytáî amõ abá maranápe
esse é meu antigo enforcador;akó xe îubykarûera
tempo, lugar, modo, etc. de se lavar, de se batizar;moîasukaba
saiu vivendo após o enterro;osem oîkobébo, o tym-y roîré
ah, quem me dera que eu o tivesse matado!;aîuká me'ĩ mã!
sua fama é a de protetora dos aflitos sempre;moreaûsuba rerekoara nde rerapûana îepi
assim como esta água lava o corpo da gente, aquela também;akó 'y asé reté moîasuka îabé, akûeîa îabé
se quem tem relações sexuais com uma solteira ou se atrai por ela transgride muito a palavra de Deus, tanto mais quem perverte uma casada ou se atrai por ela;mene'yma resé oîkoba'e abiã koîpó sesé onhemomotaryba'e oîabyeté tupã nhe'enga, memetipó mendara momoxysara koîpó sesé nhemomotasara
deve ser coisa insignificante apenas;a'uba nhote i por re'a
no meio dos anjos fez ela subir;karaibebé pyterype supiri
as marcas delas;i kuapaba
qual é também o alimento da nossa alma?;mba'e abépe asé 'anga remi'u?
semelhante a uma roupa de querejuá que brilha mais que o sol;aó-kereîûá kûarasy sosé oberaba'e nungara
conhecendo a Deus, agora amo meu Senhor Jesus;tupana kuapa, ko'y asaûsu xe îara îesu
anunciando nossa futura felicidade;asé rekokaturama mombegûabo
querendo confessar-se segundo o que determina a ele a Santa Madre Igreja;oîemombe'u-potá santa madre igreja i mombe'u rupi
elas, na verdade, são más, ficando a fazer pajelança;a'e, rakó, i angaîpá, oîemopaîé-paîébo
dirigiu de novo Pilatos sua fala aos judeus?;oîmoín-y bépe pilatos o nhe'enga îudeus supé?
grandemente a aflição oprime minha alma;naetenhẽ ã tekotebẽ xe 'anga apypyki
ele virou cinza completamente;sugûé-katu
mandando fazê-los embarcar numa arca de madeira, semelhante a um navio;ybyrá karamemûã, ygarusu nungara pupé i mo'aruká
por isso mesmo é que constituiu os padres como seus apaziguadores;nd'e'i te'e abaré moingóbo o monhyrõsaramo
pelos montes voando, fui para fazer pecar os tupis;ybytyrybo gûibebébo, asó tupi moangaîpapa
afligiu-se por ter frustrado sua ida;o sorambûera resé sekotebẽû
vejo meu reflexo;anhe'angepîak
furtaste na roça de seu próximo?;eremondarõpe nde rapixaba kópe?
é formosa, certamente, a lua;î aysó, nipó, îasy
tenho meu modo de ser diferente;xe rekó-aé arekó
com o bafo de sua boca sopra-nos o rosto;o îuru timbora pupé asé robá peîuû
eia, façam-me andar nas minhas virtudes;xe katûagûama ri ene'ĩ xe mbogûatábo
malha de algodão grossa para a defesa na guerra;amynyîu-aó-poanama
em troca de sua criação, dei-lhe outra;seîmbaba rekobîáramo amõ aîme'eng i xupé
antigamente, morrendo eu, o diabo, de repente, minha alma mataria com o pecado;akûeîme, gûimanõmo, anhanga, esapy'a, xe 'anga oîuká angaîpaba irũmomo
chegando com sua ferocidade;o nharõ rerobasema
ela está crua;i pyr
eu me fico levantando nas pontas dos pés;xe pyta'ã-ta'am
eu sou um mísero índio, de fato;xe abá-aîbĩ anhẽ
como são vocês, por acaso?;-marã-piang peẽ?
concavidade da nuca, depressão na parte inferior da nuca;atuá-pyko'ẽ
não me detestam as prostitutas;na xe reroŷrõî sygûaraîybora
poucos nesta aldeia moram, estando a salvar-se;mokõnhõ kó taba pupé sekóû, oîepysyrõmo okupa
tratando-se uns aos outros como que numa fraternidade;oîoasykûera ri îasûaramo oîoerekóbo
que tipo de caça você quer comer?;marãba'e so'o ereî'useî?
o que se iguala às mulheres?;kunhã resé oîemoîoîaba'e
aonde ele foi após acabar de comer?;mamõpe i xóû o mba'e-'u-pab'iré?
não prantear um ao outro é um modo de atentar contra si mesmo.;îoapirõe'yma rekóû îemomburûabamo nhẽ
embora eu já tenha ido.;îepémo xe só umani
entro na igreja só de vez em quando.;aîké-pa'ũpa'ũ nhote tupãokype
basta! falo eu, sarauaia!;aûîé! anhe'eng, saraûaî!
dei à luz.;aîmo'ar
eu estou com o rosto amarelo, eu estou pálido.;xe robá-îub
o que tem corpo, o que é corpóreo.;seteba'e
a lei primeira.;tekó-ypy
alguém se confessa antes de ir à guerra?;onhemombe'upe abá gûarinĩ-namo o só îanondé?
de mim comendo todas.;xe suí i gûabo pá
fiz com que ele tivesse vontade de comer.;aîmoîurué
não existem mais absolutamente suas antigas terras.;n'i tyb-angáî setãmbûera
que seja minha mãe, de fato.;xe syramongatu t'oîkó
arrependa-se de suas maldades, após ter comido alguma carne.;eîmoasy nde angaîpagûera, to'o amõ 'u ré
que não se desvie de Deus, seu criador.;t'oîaby umẽ tupã o monhangara
então os anjos virão, chamando os mortos, tocando trombetas.;a'ereme karaibebé ruri, te'õmbûera renõîa, mimbygûasu pŷabo
faço-o doente.;aîmomara'ar
que não fique com cara feia para ele, tratando-o bem.;ta sobasy umẽ i xupé, serekokatûabo
altibaixos.;gûa'a-gûa'a
vara de argola de penas.;aûã-myranga
o que tem beiço grande.;sembegûasuba'e
fazendo sua esposa trabalhar.;o emirekó moporabykŷabo
pela estrela que os guia, como a que mostra o caminho.;îasytatá serekoarama resé pé kuabe'ẽsaramo
manchas brancas no cabelo.;a-titinga
à tona d'água, na superfície da água.;y-ape'ara rupi
vi-o em meus sonhos.;xe posaûsupe asepîak
o homem que come objeto de furto ou que o leva para sua casa.;abá mondarõagûera o'uba'e koîpó og okype ogûerasoba'e
o leme da embarcação;ygara ropytaerobakaba
não pode uma pessoa casar-se ocultamente?;nd'e'ikatuîpe abá omendá-nhemima?
ainda bem que não fui, pois;aûîeté pakó xe soe'ymi é
que deve ser ungido de nós?;mba'e-mba'epe asé suí i pitubypyra?
já se juntaram por causa disso muitos moços bebedores de cauim;onheŷnhang umã sesé kunumĩetá kagûara
faço minha futura casa;aîmonhang oka - fiz uma casa xe rokûama aîmonhang
guarda-te, após conhecer essa lei, de ter má vida;eteumẽ, aîpó tekó kuab'iré, tekó-poxy rerekóbo
levou sua filha Maria quando completaram três anos;o membyra maria rerasóû mosapyr ro'y sykeme
logo no terceiro dia voltou a viver;ara mosapyra riré bé sekobeîebyri
o fraco que convido para comer;xe remipoîmembeka
Deus deixou de amá-los, n'Ele confiando fracamente;tupã osaûsupe'a, sesé oîerobîá-bebuîa
instrumento de enxotar moscas, abano de moscas;mberu mondoaba
celebrando a missa para a gente;missa ra'anga asébe
quando você veio, já o tinha matado;nde rureme aîuká umûan
perguntou Herodes sobre qualquer coisa para ele?;oporandupe herodes mba'e tetiruã resé i xupé?
morrendo eu;gûimanõmo
tomaste poção querendo o aborto de seu filho?;eremosangu'upe nde membyra akyrara potá?
que reparta seu filho um pouquinho de virtude conosco;t'oîmoîa'ok nde membyra tekokatu'ĩ amõ orébe
seu filho já nasceu;i membyra o'ar umã
vocês verão também futuramente minha vinda sobre as nuvens;pesepîak irã ybytinga 'arybo xe rura béne
o que tem a bem-aventurança é o que é manso;tekokatu-eté rerekoara onherane'ymba'e
o que você diz de costume, ensinando as pessoas?;marã erép'amẽ eporombo'ebo?
basta! eu estou muito contente;aûîé! xe rorybeté
dourei-o com ouro;aîmoîub itaîuba pupé
pelas matas;ka'abo
assim como esta água lava o corpo da gente, também aquela;akó 'y asé reté moîasuka îabé, akûeîa îabé
tenho desgosto por tê-lo levado;arasó tieté a'é
ainda não estou cozido;nd'a'éî gûiîypa ranhẽ
ali atacando as moças, por desejá-las;a'epe kunhãmuku repenhana, i potasápe
pegou-se fortemente sua roupa com a qual ele foi castigado por ficarem ferindo-o?;oîaratã serã i aoba i nupãsagûera i moperé-perebagûera resé?
eu não tenho visão, eu sou cego;na xe resapysóî
naufraguei;aîepubuîereb
o diabo te detesta;anhanga nde momburu
ajuntamento de aldeias;tá-tyba
seu criador de verdade;o moîangara tekatu
como o viu se ele é o que não tem corpo?;marãpe sepîaki, setee'ymba'eramo sekó e'ymeté?
como disse aos seus três discípulos após sua entrada no horto?;marã e'ipe o boîá mosapyr supé mitỹme o iké ré?
anunciando os acontecimentos futuros;tekorama mombegûabo
este era, de fato, o meu intento;aîpó nakó xe rekopotasaba
como o revolutear de um urubu sobre coisas fedorentas, você volta o rosto para trás;urubu mba'enema 'arybo nhemoîereba îabé, nde atybak
faço-os ser ladrões de cauim;aîonong ka'umondá
não foi à toa;na tenhẽ ruã
todos cercaram nosso senhor, achegando-se a ele;opá îandé îara moîari sesé osyka
porventura tornaram-se muito maus os homens?;onhemoangaîpabeté serã apŷaba?
você ficou usando como mulher o seu próximo?;ereîmotebi-tebipe nde rapixara?
"""sob o sono"" da alta noite, nas horas mortas da noite, em que todos dormem";pysaîekatu ké-gûyrybo
eu estou muito arrepiado;xe pita'i-ta'i
sei-o tão bem como você;nde îabé ixé i kugûabi
fazem aplacar a Deus a si mesmos, ao eliminarem a dívida dos pecados de muitos anos;tupã oîmonhyrõ o îoupé setá nhẽ seîxutatá tekoangaîpaba repy-mondykápe
no seu próprio ombro levanta a cruz;o ati'yba ri krusá osupi
volta em nossa direção seus olhos compadecedores;erobak oré koty nde resá-poraûsubara
estou prestes a ir;oebyraîarinhote aîkó
e por outra parte, semelhantemente, o próprio mar será mais terrível do que era seu costume;kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
parece investir nossa carne contra nossa alma;onharõ-berame'ĩ asé ro'o îandé 'anga resé
não vieram alguns anjos do céu?;nd'ouripe karaibebé amõ ybaka suí?
serão fedorentos, serão muito podres, corroídos de vermes e de bernes;i nem-eté, i tuîuk-eté, tasoka, ura remimongûyamone
sendo você bom;nde katuramo
deseja ardentemente ver o nascimento de seu filho;o membyra 'arama osepîaka'ub
elas são muito altas?;iîybaté-katupe?
eu seco;xe rypab
homem parvo, ignorante;abá-tekokuabe'ymusu
vaso de estanho;itaîy-kamusi
nossa casa santa edificamos;nde rokangaturamûama oroîmoĩ
ainda mais nosso corpo sente saudades de sua alma, sua verdadeira companheira, a que o faz viver;memetipó îandé reté o irũeté o moingobesara o 'anga repîaka'upa
entregou-o bem em suas mãos;oîme'eng i pópe-katu
Adão, nosso primeiro pai, nos fez perder verdadeiramente;adão, oré rubypy, oré mokanhemeté
ele há de ser seu espião!;nde manhanamo t'oîkóne!
envelheço;akakugûabakatã
ver os doentes;mba'easybora repîaka
portanto, ando hoje com o provincial;angari abaregûasu arogûatá
o cacho delas;saryba
os antigos inimigos de São Lourenço;são lourenço rupîarûera
você fez chegar o pagamento como retribuição de um trabalho?;eresepy-mondykype marãtekó repyramo?
é bonita a sua terra?;i porangype pe retama?
vou à roça;akopîasó
ao chegarem os pescadores, repartem sempre com suas amantes ruins seu pescado, pelas costas de seus senhores;pindaîtykara îepotasápe, memẽ o agûasá-poxy supé oîmoîa'ok o embiara, o îara kupébo nhẽ
que Deus me livre das lembranças ruins;ta xe pysyrõ tupã ma'enduasabaíba suí
em seu rosto ficando a cuspir;sobá resé onhenomũ-nomuna
pronto, meu senhor, voei;irõ, xe îar, abebé
quando você cumprirá isso que você diz?;erimba'epe aîpó nde 'îaba ereîmopóne?
querendo estar em cima deles;i 'ari oîkó-potá
os cristãos como uma unidade;i mongaraibypyretá oîepegûasu îasûá
como uma luz de fogo;tatá-endy îabé
está pronto o goitacá ou o filho do guaianá?;sekoaûîépe gûaîtaká koîpó gûaîanã ra'yra?
creio em Deus Pai, o que pode fazer todas e quaisquer coisas;arobîar tupã tuba, opakatu mba'e tetiruã monhanga e'ikatuba'e
cortei um pedaço;asykûera aîasy'ab
minha ausência;xe roŷpyre'yma
mas sempre, com certeza, as suas almas querem bem, guiando-as;memẽ-te, nipó, pe 'anga amotá, i pokoka
olhe bem que, por isso mesmo, o maldito ataca o homem;nd'e'i te'e moxy keteté abá ropenhana
não se separam na guerra;n'i xandoki marana ri
replico as palavras de pero;aîpoepyk pero
logo então, em um momento, leva-o para sempre ao fogo;a'eîbé korite'ĩ-aíb-eté serasóû aûîeramanhẽ tatápe
eu mesmo coloquei pessoas no desejo sensual;xe aé aporomoingó moropotara resé
como se eu tivesse emergido do fundo;ypy suí berame'ĩ abur
após a morte de seu filho, ama todos os homens;o membyra re'õ ré opabĩ abá raûsubi
ao longo das pedras;itá ybyri
pintura dele;i kûatiara
eu estava sobrecarregado;xe posakar
você passou a mão nas suas pudendas, abrindo-as, alargando-as?;erepokokype nde rapopé resé i pekábo, i pypirá?
você irritou o senhor Jesus;pemoŷrõ pa'i îesu
a morte está igualmente entre os jovens e entre os velhos;oîoîá te'õ rekóû kunumĩgûasu suí tuîba'e suí bé
aperte a cabeça do maldito;oîopyk muru akanga
fulano está muito atrás de mim;xe resé-katu ahẽ rekóû
logo então;a'ereme bé
farinha de mandioca;u'i-puku
ele tem olhos claros como seu pai;og uba rupi ahẽ resá-tingamo
acalme seu filho que está irado;o membyra i nhemoŷrõba'e oîmonhyrõ
rio abaixo, a jusante;y-embykoty
convidando todos os homens;apŷaba sogûabo pá
você visitou o buraco do covo de alguém?;ereîosubype abá îeke'i kûara?
eu sou molengão;xe rekombegûé
contudo, após sua morte, no terceiro dia voltou a viver;aûîeté, gûe'õ ré, 'ara mosapyra resé bé sekobeîebyri
linha delgada para costurar;inimbó'i
não aceito essa sua boa lei;n'aîari kó sekó-angaturama
que acabem logo meus afazeres;t'osyk esapy'a xe rekó
visitando o interior de todas as ocas;opá okybỹnha supa
hoje mesmo;kori é
em abrigo;ãme
e todas as coisas futuramente queimarão?;a'epe opá irã mba'e kaîne?
eu tenho secura na garganta;xe aseó-tining
amam-se muito, por dever, aqueles que se casaram?;oîoaûsu-katupe amẽ oîopopysykyba'epûera?
ah, eu sou muito miserável após me entregar ao diabo!;xe poreaûsubetekatu anhanga supé xe nheme'eng'iré mã!
mentiras se levantam;mo'ema kó omopu'ã
imediatamente, água e sangue dele vazaram, escorrendo;aûnhenhẽ 'y sugûy abé i xuí i 'emi, osyryka
estava longe a sua lembrança das coisas, enquanto estava a devanear?;oîkó kûepe mba'e resé nde ma'enduara enhemongetábo ekupa?
eu estou ficando pensativo;apyk gûitekóbo
o que eu tomo;xe remiîara
vôo como este vento;abebé kó ybytu îá
você tem olhos concupiscentes, olhando para alguém?;nde resá-poropotápe amõ resé ema'ẽmo?
por isso mesmo todos os homens ficarão pálidos de aflição;nd'e'i te'e opá abá robaîubamo tekotebẽ suíne
desconjuntei o pé;aîepy-mongaraû
carpi;akapir
você teve relações sexuais com uma mulher casada?;ereîkópe kunhã-mendara resé?
não vou te denunciar;nd'oromombe'uî xóne
nas minhas mãos, somente, levei-as;xe pópe nhote arasó
era muito grande, por isso mesmo ficava caindo com ela;turusukatu nd'e'i te'e sero'a-ro'a
cerca feita de ramos;ybyrá-pokanga
você fez da sua companheira uma prostituta?;ereîmosugûaraîype nde rapixarĩ?
roço a mata;aka'agûyrok
apaga o fogo;emogûeb tatá
rio acima, a montante;y-anhangoty
calos dos pés;mby piru'a
a sem-filhos, a fêmea estéril;membyre'yma
você tomou isso depois de comer ou depois de engolir alguma coisa?;ereîápe nde mba'e 'u roîré koîpó mba'e amõ mokon'iré?
você me alegra muito, narrando assim os fatos;xe moory-katu îepé, inã tekó mombegûabo
hei de comer seus miolos;i aputu'uma t'a'u
matamo-nos um ao outro;oroîoîuká
aproxima-se minha ida;okakar xe sorama
em sua própria casa, o desejo sensual consentindo;og okype îopotara repîakĩamo
depressa, arrastam-me fortemente;taûîé, xe rekyî-atã
acenda o fogo;emoendy tatá
quem tem relações sexuais com uma solteira transgride muito a palavra de Deus;mene'yma resé oîkoba'e oîaby-eté tupã nhe'enga
onde chegaram com nosso Senhor, enfim?;mamõpe ybŷá îandé îara rerobasemi ko'yté?
melado ou mel de cana-de-açúcar;u'ubae'ẽ eíra
ainda, ainda me odeia fulano;a'é byter aîpó gûi'îabo - ainda digo isso e'i byté-byterĩ ahẽ xe amotare'yma
veja minha doença para que você se compadeça de minha alma;esepîak xe mara'ara t'eresaûsubar xe 'anga
essa fez assim;emonã ûĩ sekóû
eis que aqui estou para te procurar;kó xe rekóû nde reká
brilhou formosamente;oberab-aysó
contando-o, digo e desdigo;arekorekó i mombegûabo
nossa companheira de guerras, causa de nossa bravura;îandé maranirũ, îandé abaîtéba
meto pelo pescoço;aîmondeb o aîurybo
os que andam pelo caminho;pé rupi ogûataba'e
estraguei;aîmoaikatu
oh, então assim é, na verdade!;tó, inã îepé ra'e!
pão celestial, comida dos anjos;miapé-ybakygûara, apŷabebé remi'u
oxalá ele viesse!;our be'ĩmo mã!
todos vão em procissão;opabenhẽ gûá sóû îebyîebybo
eu tinha me esquecido por causa da muita aflição;xe resaraî tekotebẽ-eté suí!
ficando a confundir as pessoas;o poromonã-monana
a vida eterna que eles terão no céu é a que mudará?;oîekûabokyba'eramape tekopuku ybakype semierekorama?
a segunda dele é a satisfação dos cônjuges;i momokõîndûara mendara moîekosupaba
de cada um de vocês o Senhor Deus encarregou um anjo;pe îabi'õ pa'i tupã karaibebé moingóû
que sejamos corajosos, sim, suportando as coisas dolorosas como você;t'oré pyatã, angá, mba'easy porarábo nde îá
por isso mesmo quiseram igualar-se todos ao seu criador?;nd'e'i te'e serã oîemoîoîá-pá-potá o monhangara resé?
leva minha alma que te ama, fazendo-a subir contigo;xe 'anga nde raûsupara erasó seroîeupi
folha tenra;sokyra
a causa da fuga do diabo é a água benta;anhanga nhegûasembaba 'ykaraíba
enfeites do rosto;tobá posanga
ele o faz em muito tempo;e'i ymuanĩ ahẽ i monhanga
tomou-o como substituto de Judas, que entregou o Deus-filho;îudas tupã ta'yra me'engarûera rekobîaramo tari
em dois dias e no tempo de se fazer o terceiro, voltou a viver;ara mokõî i momosapysaba pupé o ekobeîebyri
tinha também fome, tinha também sede como nós?;i ambyasy bépe, i 'useî bépe asé îabé?
vem para o meu lado!;eîori xe posé
não ia para o céu outrora a alma de nenhum homem?;abá 'angûera amõ soe'ymi ybakype erimba'e?
ah, que bom seria a morte do fulano por aí!;marãîasûaramo ahẽ kûepe se'õ mã!
eis que percebendo isso, deixei ontem minha casa;kó anga andupa, aseîá kûesé xe roka
do lado de fora dele;i apé koty
sua mãe nem sequer sangrou;i xy na sugûyî tiruã
não há ali choro, não há doença, não há fome, sede também não há;n'i tybi a'epe îase'o, mba'easy n'i tybi, n'i tybi ambyasy, 'useîa bé n'i tybi
coisas que costuma sofrer;mba'e o emimboraratyba
ambas estas mãos, o número dez;opá kó mbó
pus as bordas dela;asembe'y-rung
fiz ele emagrecer;aîmoangaîbar
vivo retirando-as [quando são muitas coisas];anosẽ-sem
mentira);temo'ema
venham, levem os malditos, erguendo-os para queimá-los em nosso fogo, moqueando-os;peîori, perasó muru, supi îandé ratápe sapeka, i monga'ẽmo
você foi traidor de sua esposa?;eremondarõpe nde remirekó suí?
são famosos esses moçacaras, que são uns beberrões;serapûan kó mosakara, i kaûĩgûasuba'e
por acaso você trouxe muitas coisas?;ereruretá serã?
eu estou me amancebando;xe agûasá gûitekóbo
me deleita muito;xe moapysy-katu
canavial;takûare'ẽ-ndyba
que sejamos corajosos, sim, suportando as coisas dolorosas;t'oré pyatã, angá, mba'easy porarábo
água cheia grande, maré alta;ty-apogûasu
eu sou preto;xe run
rodeei-o;anhaman
veio um grande chefe de longe para te procurar;oú tubixá-katu mamõ suí nde reká
todos os seus discípulos para suas mãos fazendo passar;opá o boîá nde pópe i mongûapa
fica! somente quando você bebe cauim você quer ser valente? palermão! centopéia!;epytá! kagûápe nhõ nde ratãngatu-potá? manemusu! ambu'a!
eu sou ciumento;xe rygûyrõbor
assim, na verdade, eu determinei;emonã nakó xe rekopotari
forno para potes;kamusi rapŷaba
as mulheres invocam o pajé caruara;osekyî kunhã maîé karûara
querendo o alívio de nossa doença;asé mba'easy arybé potá
você ajudou alguém em um roubo?;ereîpytybõpe abá mondá resé?
sim, aqui estão também minhas garras;îé, kó bé xe pûãpẽ
fazê-lo sofrer o frio;îaîmomboreaûsu ro'y
logo, com certeza, você passará pelo lugar onde moro;koromõ ipó eregûatá xe rekoápe
você matou?;ereîukápe?
se colocar a mão neste nosso fogo é terrível, muito mais ali é terrível que os homens queimem eternamente;ikó îandé ratá pupé asé po'ẽma biã iî abaeté, memetaé a'epe aûîeramanhẽ abá kaîa o abaetéramo
o que é felpudo;i îatyrá-tyraba'e
ali atacando as moças;a'epe kunhãmuku repenhana
ó minha mãe! [usava-se também por quem respondia;xe sy îu!
eu o amo;asaûsu biã
você vê a variedade de coisas;esepîak tekó paraba
