source_text,target_text
"por acaso estava com a cintura fendida o maldito, balançando?",i ku'a-bok serã moxy oatimunga?
devolveu seu pagamento aos príncipes,oîme'eng-îeby sepypûera morubixabetá supé
passo raramente,moîepenhombé akûab
por isso mesmo em tua grande força apóio-me,nd'a'é te'e nde ratãngatu resé gûiîekoka
eu sou doido,xe 'angaingaíb
deve ter ido,osó ipó re'ĩ
o que deseja a justiça,tekokatu 'useîtara
será muito terrível futuramente para os que são maus?,i abaeté-katupe irã i angaîpaba'e supé?
mas procedendo de que modo se está como amigo do diabo?,marã oîkóbo-tepe asé anhanga rembiaûsubamo sekóû?
"mirra, poção de polpa","mirra, mosanga to'o suí"
homem falso,abá-memûã
apenas não me faz morrer,sa'ĩ na xe momanõî!
são numerosos os que te procuram,se'yî nde rekasara
violentaste uma solteira antes de lhe fazer mal?,ereîukaípe mendare'yma i momoxy îanondé?
é terrível para mim vê-los,i abaeté sepîaka ixébo
"ah, vencer-me-ão hoje!",xe reîtyk korine mã!
"ao se aproximar o doente da agonia, que mandem chamar o padre","mba'easybora o mara'ara kakareme, t'osenõîukar abaré"
diabo mau,anhangaíba
"eia, pois, sapo maneta!","ené, rõ, kururu-asyka!"
"tão logo ao ouvir o nome dela, em outra parte eu me escondo",serenduba rupibé amongoty xe nhemimi
morrendo nós,îamanõmo
arroto fétido,eú-rema
"eia, levemos adiante deles esta muçurana","ene'ĩ, t'îarasó senondé kó musurana"
escorei-o,aîokok
os que moram em maratauá acreditam em minhas palavras,marataûãme tekoara ogûerobîá xe nhe'enga
o que é o único filho dele,ta'yra oîepeba'e
livra-nos tu,oré pysyrõ îepé
coloquei-o de boca para baixo,oobapybo aîmoín
conhecendo a deus,tupana kuapa
meteu-te pelo pescoço,nde mondeb o aîurybo
caiu no chão,o'ar ybype
"embora eles fossem obra d'ele, alguns anjos tornaram-se maus","aûîeté a'e semimonhangûera, karaibebé amõ amõ oîemoangaîpab"
todos os que confessou com os que escondeu voltará a confessar,o emimombe'upûera o emikuakugûera irũmo bé i mombe'uîebyrine
"mas, de verdade",anhẽ ruãp'anhẽ
ele mesmo certamente me guarda,a'e aé ipó xe rerekó
eu estou adoentado,xe mba'easyaíb
mulher corajosa,kunhã-pyatã
estrebuchei,ababak
"tomaste remédio, não querendo ficar grávida?",ereposangu'upe nde puru'apotare'ymamo?
comendo-o ansiosamente sempre,korikoria'u i gûabo îepi
eis que esses meus valentões sabem assassinar,kó a'e xe kyre'ymbaba oîkuá morapiti
"suportando a grande noite, estamos muito aflitos","putunusu porarábo, oroîkotebẽngatu"
dar também o dízimo naquilo que plantou primeiro,o emitymbûerypy pupé tupã potá-me'engano
acreditaste nas mentiras de alguém?,ererobîápe abá remo'ema?
enfileiramo-nos,oroîoysyrung
ofendeste tua avó?,ereîanga'ope nde aryîa?
eu sumi de vista,xe apykanhem
jejuar cada vez que a santa madre igreja mandar jejuar,santa madre igreja îekuaku-pûaîa îabi'õ îekuakuba
"foi pregado na cruz, foi morto, foi sepultado","ybyraîoasaba resé i moîarypyrûeramo sekóû, i îukapyrûeramo, i tymbyrûeramo"
"vituperaste teu pai, tua mãe, teu avô, tua avó?","ereîanga'ope nde ruba, nde sy, nde ramũîa, nde aryîa?"
aqueles serão os futuros habitantes do fundo de nosso fogo,aîpó îandé ratá gûyra porama
"o que é azul, o que é verde, o que é roxo",sobyba'e
cortei-lhe a cabeça,aîakã-mondok
estorva-me o senhor deus!,xe moarûá pa'i tupã!
obedece bem a mulher a seu marido ao encarregá-la de boas coisas?,osapîá-katupe kunhã o mena tekó-katu resé o pûaîme?
"um ou outro, porventura, foi mau alguma vez","oîepé-ĩombé, nipó, i angaîpab amõme é"
"de algum lugar, dalgures, de alguma parte",mamõ suí
dizendo a um canto de pássaro ou a um urro de onça que são agouros,gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo
"eia, pois, vamos estar sentados aqui","pene'ĩ, rõ, t'îasó ké îagûapyka îakupa"
eu sou um jaguaretê comedor de gente!,xe îagûareteporu!
"que tenhamos, em sua terra, junto de ti, a vida eterna","t'orogûerekó, setãme, nde pyri, tekopuku"
não ficou ninguém no lugar da batalha,n'opytáî amõ abá maranápe
esse é meu antigo enforcador,akó xe îubykarûera
"tempo, lugar, modo, etc de se lavar, de se batizar",moîasukaba
saiu vivendo após o enterrarem,"osem oîkobébo, o tym-y roîré"
"ah, quem me dera o tivesse matado!",aîuká me'ĩ mã!
a de protetora dos aflitos é tua fama sempre,moreaûsuba rerekoara nde rerapûana îepi
"assim como esta água lava o corpo da gente, aquela também","akó 'y asé reté moîasuka îabé, akûeîa îabé"
"se o que tem relações sexuais com uma solteira ou por ela se atrai transgride muito a palavra de deus, tanto mais o que perverte uma casada ou o que se atrai por ela","mene'yma resé oîkoba'e abiã koîpó sesé onhemomotaryba'e oîabyeté tupã nhe'enga, memetipó mendara momoxysara koîpó sesé nhemomotasara"
há de ser coisa insignificante somente,a'uba nhote i por re'a
no meio dos anjos fê-la subir,karaibebé pyterype supiri
as marcas delas,i kuapaba
qual é também o alimento de nossa alma?,mba'e abépe asé 'anga remi'u?
semelhante a uma roupa de querejuá que brilha mais que o sol,aó-kereîûá kûarasy sosé oberaba'e nungara
"conhecendo a deus, agora amo meu senhor jesus","tupana kuapa, ko'y asaûsu xe îara îesu"
anunciando nossa futura felicidade,asé rekokaturama mombegûabo
querendo confessar-se segundo o que determina a ele a santa madre igreja,oîemombe'u-potá santa madre igreja i mombe'u rupi
"elas, na verdade, são más, ficando a fazer pajelança","a'e, rakó, i angaîpá, oîemopaîé-paîébo"
dirigiu de novo pilatos sua fala aos judeus?,oîmoín-y bépe pilatos o nhe'enga îudeus supé?
grandemente a aflição oprime minh'alma,naetenhẽ ã tekotebẽ xe 'anga apypyki
ele virou cinza completamente,sugûé-katu
"mandando fazê-los embarcar numa arca de madeira, semelhante a um navio","ybyrá karamemûã, ygarusu nungara pupé i mo'aruká"
por isso mesmo é que constituiu os padres como seus apaziguadores,nd'e'i te'e abaré moingóbo o monhyrõsaramo
"pelos montes voando, fui para fazer pecar os tupis","ybytyrybo gûibebébo, asó tupi moangaîpapa"
afligiu-se por se ter frustrado sua ida,o sorambûera resé sekotebẽû
vejo meu reflexo,anhe'angepîak
furtaste na roça de teu próximo?,eremondarõpe nde rapixaba kópe?
"é formosa, certamente, a lua","î aysó, nipó, îasy"
tenho meu modo de ser diferente,xe rekó-aé arekó
com o bafo de sua boca sopra-nos o rosto,o îuru timbora pupé asé robá peîuû
"eia, faze-me andar nas minhas virtudes",xe katûagûama ri ene'ĩ xe mbogûatábo
malha de algodão grossa para a defesa na guerra,amynyîu-aó-poanama
"em troca de sua criação, dei-lhe outra",seîmbaba rekobîáramo amõ aîme'eng i xupé
"antigamente, morrendo eu, o diabo, de repente, minha alma mataria com o pecado","akûeîme, gûimanõmo, anhanga, esapy'a, xe 'anga oîuká angaîpaba irũmomo"
chegando com sua ferocidade,o nharõ rerobasema
ela está crua,i pyr
eu me fico levantando nas pontas dos pés,xe pyta'ã-ta'am
"eu sou um mísero índio, de fato",xe abá-aîbĩ anhẽ
"como sois vós, por acaso?",-marã-piang peẽ?
"concavidade da nuca, depressão na parte inferior da nuca",atuá-pyko'ẽ
não me detestam as prostitutas,na xe reroŷrõî sygûaraîybora
"poucos nesta aldeia moram, estando a salvar-se","mokõnhõ kó taba pupé sekóû, oîepysyrõmo okupa"
tratando-se uns aos outros como que numa fraternidade,oîoasykûera ri îasûaramo oîoerekóbo
que tipo de caça queres comer?,marãba'e so'o ereî'useî?
o que se iguala às mulheres,kunhã resé oîemoîoîaba'e
aonde ele foi após acabar de comer?,mamõpe i xóû o mba'e-'u-pab'iré?
não prantear um ao outro é modo de atentar contra si mesmo,îoapirõe'yma rekóû îemomburûabamo nhẽ
embora eu já tivesse ido,îepémo xe só umani
entro na igreja só de vez em quando,aîké-pa'ũpa'ũ nhote tupãokype
"basta! falo eu, sarauaia!","aûîé! anhe'eng, saraûaî!"
dei-o à luz,aîmo'ar
"eu estou de rosto amarelo, eu estou pálido",xe robá-îub
"o que tem corpo, o que é corpóreo",seteba'e
a lei primeira,tekó-ypy
confessa-se alguém antes de ir à guerra?,onhemombe'upe abá gûarinĩ-namo o só îanondé?
de mim comendo-as todas,xe suí i gûabo pá
fi-lo ter vontade de comer,aîmoîurué
não existem mais absolutamente suas antigas terras,n'i tyb-angáî setãmbûera
"que seja minha mãe, de fato",xe syramongatu t'oîkó
"arrepende-te de tuas maldades, após teres comido alguma carne","eîmoasy nde angaîpagûera, to'o amõ 'u ré"
"que não se desvie de deus, seu criador",t'oîaby umẽ tupã o monhangara
"então os anjos virão, chamando os mortos, tocando trombetas","a'ereme karaibebé ruri, te'õmbûera renõîa, mimbygûasu pŷabo"
faço-o doente,aîmomara'ar
"que não fique de cara feia para ele, tratando-o bem","ta sobasy umẽ i xupé, serekokatûabo"
altibaixos,gûa'a-gûa'a
var de argola de penas,aûã-myranga
o que tem beiço grande,sembegûasuba'e
fazendo sua esposa trabalhar,o emirekó moporabykŷabo
"pela estrela que os guia, como a que mostra o caminho",îasytatá serekoarama resé pé kuabe'ẽsaramo
manchas brancas do cabelo,a-titinga
"à tona d'água, na superfície da água",y-ape'ara rupi
vi-o em meus sonhos,xe posaûsupe asepîak
o homem que come objeto de furto ou que o leva para sua casa,abá mondarõagûera o'uba'e koîpó og okype ogûerasoba'e
o leme da embarcação,ygara ropytaerobakaba
não pode uma pessoa casar-se ocultamente?,nd'e'ikatuîpe abá omendá-nhemima?
"ainda bem que não fui, pois",aûîeté pakó xe soe'ymi é
que deve ser ungido de nós ?,mba'e-mba'epe asé suí i pitubypyra?
já se juntaram por causa disso muitos moços bebedores de cauim,onheŷnhang umã sesé kunumĩetá kagûara
faço minha futura casa,aîmonhang oka - fiz uma casa xe rokûama aîmonhang
"guarda-te, após conhecer essa lei, de ter má vida","eteumẽ, aîpó tekó kuab'iré, tekó-poxy rerekóbo"
levou sua filha maria quando se completaram três anos,o membyra maria rerasóû mosapyr ro'y sykeme
logo no terceiro dia voltou a viver,ara mosapyra riré bé sekobeîebyri
o fraco que convido para comer,xe remipoîmembeka
"deus deixou de amá-los, n'ele confiando fracamente","tupã osaûsupe'a, sesé oîerobîá-bebuîa"
"instrumento de enxotar moscas, abano de moscas",mberu mondoaba
celebrando a missa para a gente,missa ra'anga asébe
"quando tu vieste, já o tinha matado",nde rureme aîuká umûan
perguntou herodes sobre qualquer coisa para ele?,oporandupe herodes mba'e tetiruã resé i xupé?
morrendo eu,gûimanõmo
tomaste poção querendo o aborto de teu filho?,eremosangu'upe nde membyra akyrara potá?
que reparta teu filho um pouquinho de virtude conosco,t'oîmoîa'ok nde membyra tekokatu'ĩ amõ orébe
seu fiho já nasceu,i membyra o'ar umã
vereis também futuramente minha vinda sobre as nuvens,pesepîak irã ybytinga 'arybo xe rura béne
o que tem a bem-aventurança é o que é manso,tekokatu-eté rerekoara onherane'ymba'e
"que dizes de costume, ensinando as pessoas?",marã erép'amẽ eporombo'ebo?
basta! eu estou muito contente,aûîé! xe rorybeté
dourei-o com ouro,aîmoîub itaîuba pupé
pelas matas,ka'abo
"assim como esta água lava o corpo da gente, também aquela","akó 'y asé reté moîasuka îabé, akûeîa îabé"
tenho desgosto por o ter levado,arasó tieté a'é
ainda não estou cozido,nd'a'éî gûiîypa ranhẽ
"ali atacando as moças, por desejá-las","a'epe kunhãmuku repenhana, i potasápe"
pegou-se fortemente sua roupa com que ele foi castigado por o ficarem ferindo?,oîaratã serã i aoba i nupãsagûera i moperé-perebagûera resé?
"eu não tenho visão, eu sou cego",na xe resapysóî
naufraguei,aîepubuîereb
o diabo te detesta,anhanga nde momburu
ajuntamento de aldeias,tá-tyba
seu criador de verdade,o moîangara tekatu
como o viu se ele é o que não tem corpo?,"marãpe sepîaki, setee'ymba'eramo sekó e'ymeté?"
como disse aos seus três discípulos após sua entrada no horto?,marã e'ipe o boîá mosapyr supé mitỹme o iké ré?
anunciando os acontecimentos futuros,tekorama mombegûabo
"este era, de fato, o meu intento",aîpó nakó xe rekopotasaba
"como o revolutear de um urubu sobre coisas fedorentas, tu voltas o rosto para trás","urubu mba'enema 'arybo nhemoîereba îabé, nde atybak"
faço-os ser ladrões de cauim,aîonong ka'umondá
não foi à toa,na tenhẽ ruã
"todos cercaram nosso senhor, achegando-se a ele",opá îandé îara moîari sesé osyka
porventura tornaram-se muito maus os homens?,onhemoangaîpabeté serã apŷaba?
ficaste usando como mulher o teu próximo?,ereîmotebi-tebipe nde rapixara?
"""sob o sono"" da alta noite, nas horas mortas da noite, em que todos dormem",pysaîekatu ké-gûyrybo
eu estou muito arrepiado,xe pita'i-ta'i
sei-o tão bem como tu,nde îabé ixé i kugûabi
"fazem aplacar a deus a si mesmos, ao eliminarem a dívida dos pecados de muitos anos",tupã oîmonhyrõ o îoupé setá nhẽ seîxutatá tekoangaîpaba repy-mondykápe
no seu próprio ombro levanta a cruz,o ati'yba ri krusá osupi
volta em nossa direção teus olhos compadecedores,erobak oré koty nde resá-poraûsubara
estou prestes a ir,oebyraîarinhote aîkó
"e por outra parte, semelhantemente, o próprio mar será mais terrível do que era seu costume",kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
parece investir nossa carne contra nossa alma,onharõ-berame'ĩ asé ro'o îandé 'anga resé
não vieram alguns anjos do céu?,nd'ouripe karaibebé amõ ybaka suí?
"serão fedorentos, serão muito podres, corroídos de vermes e de bernes","i nem-eté, i tuîuk-eté, tasoka, ura remimongûyamone"
sendo tu bom,nde katuramo
deseja ardentemente ver o nascimento de seu filho,o membyra 'arama osepîaka'ub
elas são muito altas?,iîybaté-katupe?
eu seco,xe rypab
"homem parvoeirão, ignorantão",abá-tekokuabe'ymusu
vaso de estanho,itaîy-kamusi
tua casa santa edificamos,nde rokangaturamûama oroîmoĩ
"ainda mais nosso corpo tem saudades de sua alma, sua verdadeira companheira, a que o faz viver",memetipó îandé reté o irũeté o moingobesara o 'anga repîaka'upa
entregou-o bem em suas mãos,oîme'eng i pópe-katu
"adão, nosso primeiro pai, fez-nos perder verdadeiramente","adão, oré rubypy, oré mokanhemeté"
ele há de ser teu espião!,nde manhanamo t'oîkóne!
envelheço,akakugûabakatã
ver os doentes,mba'easybora repîaka
"portanto, ando hoje com o provincial",angari abaregûasu arogûatá
o cacho delas,saryba
os antigos inimigos de são lourenço,são lourenço rupîarûera
fizeste chegar o pagamento como retribuição de um trabalho?,eresepy-mondykype marãtekó repyramo?
é bonita vossa terra?,i porangype pe retama?
vou à roça,akopîasó
"ao chegarem os pescadores, repartem sempre com suas amantes ruins seu pescado, pelas costas de seus senhores","pindaîtykara îepotasápe, memẽ o agûasá-poxy supé oîmoîa'ok o embiara, o îara kupébo nhẽ"
que me livre deus das lembranças ruins,ta xe pysyrõ tupã ma'enduasabaíba suí
em seu rosto ficando a cuspir,sobá resé onhenomũ-nomuna
"pronto, meu senhor, voei","irõ, xe îar, abebé"
quando cumprirás isso que tu dizes?,erimba'epe aîpó nde 'îaba ereîmopóne?
querendo estar em cima deles,i 'ari oîkó-potá
os cristãos como uma unidade,i mongaraibypyretá oîepegûasu îasûá
como uma luz de fogo,tatá-endy îabé
está pronto o goitacá ou o filho do guaianá?,sekoaûîépe gûaîtaká koîpó gûaîanã ra'yra?
"creio em deus pai, o que pode fazer todas e quaisquer coisas","arobîar tupã tuba, opakatu mba'e tetiruã monhanga e'ikatuba'e"
cortei um pedaço,asykûera aîasy'ab
minha ausência,xe roŷpyre'yma
"mas sempre, com certeza, a vossas almas querem bem, guiando-as","memẽ-te, nipó, pe 'anga amotá, i pokoka"
"olhe bem que, por isso mesmo, o maldito ataca o homem",nd'e'i te'e moxy keteté abá ropenhana
não se separam na guerra,n'i xandoki marana ri
replico a pero aînhe'ẽ-poepyk pero - replico as palavras de pero,aîpoepyk pero
"logo então, em um momento, leva-o para sempre para o fogo",a'eîbé korite'ĩ-aíb-eté serasóû aûîeramanhẽ tatápe
eu mesmo pus gente no desejo sensual,xe aé aporomoingó moropotara resé
como que do fundo emergi,ypy suí berame'ĩ abur
"após morrer seu filho, ama todos os homens",o membyra re'õ ré opabĩ abá raûsubi
ao longo das pedras,itá ybyri
pintura dele,i kûatiara
eu estava sobrecarregado,xe posakar
"passaste a mão nas tuas pudendas, abrindo-as, alargando-as?","erepokokype nde rapopé resé i pekábo, i pypirá?"
irritastes o senhor jesus,pemoŷrõ pa'i îesu
a morte está igualmente entre os moços e entre os velhos,oîoîá te'õ rekóû kunumĩgûasu suí tuîba'e suí bé
aperta a cabeça do maldito,oîopyk muru akanga
fulano está muito atrás de mim,xe resé-katu ahẽ rekóû
logo então,a'ereme bé
var de farinha de mandioca,u'i-puku
ele tem olhos claros como seu pai,og uba rupi ahẽ resá-tingamo
apazigua seu filho que está irado,o membyra i nhemoŷrõba'e oîmonhyrõ
"rio abaixo, a jusante",y-embykoty
convidando os homens todos,apŷaba sogûabo pá
visitaste o buraco do covo de alguém?,ereîosubype abá îeke'i kûara?
eu sou molengão,xe rekombegûé
"contudo, após sua morte, no terceiro dia voltou a viver","aûîeté, gûe'õ ré, 'ara mosapyra resé bé sekobeîebyri"
linha delgada para coser,inimbó'i
não acato essa sua boa lei,n'aîari kó sekó-angaturama
que acabem logo meus afazeres,t'osyk esapy'a xe rekó
visitando o interior de todas as ocas,opá okybỹnha supa
hoje mesmo,kori é
em abrigo,ãme
e todas as coisas futuramente queimarão?,a'epe opá irã mba'e kaîne?
eu tenho secura na garganta,xe aseó-tining
"amam-se muito, por dever, os que se casaram?",oîoaûsu-katupe amẽ oîopopysykyba'epûera?
"ah, eu sou muito miserável após me entregar para o diabo!",xe poreaûsubetekatu anhanga supé xe nheme'eng'iré mã!
mentiras levantam,mo'ema kó omopu'ã
"imediatamente, água e sangue dele vazaram, escorrendo","aûnhenhẽ 'y sugûy abé i xuí i 'emi, osyryka"
"estava longe tua lembrança das coisas, estando a devanear?",oîkó kûepe mba'e resé nde ma'enduara enhemongetábo ekupa?
eu estou ficando pensativo,apyk gûitekóbo
o que eu tomo,xe remiîara
vôo como este vento,abebé kó ybytu îá
"tu tens olhos concupiscentes, olhando para alguém?",nde resá-poropotápe amõ resé ema'ẽmo?
por isso mesmo todos os homens ficarão pálidos de aflição,nd'e'i te'e opá abá robaîubamo tekotebẽ suíne
desconjuntei-me o pé,aîepy-mongaraû
carpi,akapir
tiveste relações sexuais com uma mulher casada?,ereîkópe kunhã-mendara resé?
não te denunciarei,nd'oromombe'uî xóne
"nas minhas mãos, somente, levei-as",xe pópe nhote arasó
era muito grande por isso mesmo ficava caindo com ela,turusukatu nd'e'i te'e sero'a-ro'a
cerca feita de ramas,ybyrá-pokanga
fizeste tua companheira uma prostituta?,ereîmosugûaraîype nde rapixarĩ?
roço a mata,aka'agûyrok
apaga o fogo,emogûeb tatá
"rio acima, a montante",y-anhangoty
calos dos pés,mby piru'a
"a sem-filhos, a fêmea estéril",membyre'yma
tomaste-o depois de comer ou depois de engolir alguma coisa?,ereîápe nde mba'e 'u roîré koîpó mba'e amõ mokon'iré?
"tu me alegras muito, narrando assim os fatos","xe moory-katu îepé, inã tekó mombegûabo"
hei de comer seus miolos,i aputu'uma t'a'u
matamo-nos um ao outro,oroîoîuká
aproxima-se minha ida,okakar xe sorama
em sua própria casa o desejo sensual consentindo,og okype îopotara repîakĩamo
"depressa, arrastam-me fortemente","taûîé, xe rekyî-atã"
acende o fogo,emoendy tatá
o que tem relações sexuais com uma solteira transgride muito a palavra de deus,mene'yma resé oîkoba'e oîaby-eté tupã nhe'enga
"aonde chegaram com nosso senhor, enfim?",mamõpe ybŷá îandé îara rerobasemi ko'yté?
melado ou mel de cana-de-açúcar,u'ubae'ẽ eíra
"ainda, ainda me odeia fulano",a'é byter aîpó gûi'îabo - ainda digo isso e'i byté-byterĩ ahẽ xe amotare'yma
vê minha doença para que te compadeças de minha alma,esepîak xe mara'ara t'eresaûsubar xe 'anga
essa fez assim,emonã ûĩ sekóû
eis que aqui estou para te procurar,kó xe rekóû nde reká
brilhou formosamente,oberab-aysó
"contando-o, digo-o e desdigo-o",arekorekó i mombegûabo
"nossa companheira de guerras, causa de nossa bravura","îandé maranirũ, îandé abaîtéba"
meto-o pelo pescoço,aîmondeb o aîurybo
os que andam pelo caminho,pé rupi ogûataba'e
estraguei-a,aîmoaikatu
"oh, então assim é, na verdade!","tó, inã îepé ra'e!"
"pão celestial, comida dos anjos","miapé-ybakygûara, apŷabebé remi'u"
oxalá ele viesse!,our be'ĩmo mã!
todos vão em procissão,opabenhẽ gûá sóû îebyîebybo
eu tinha-me esquecido por causa da muita aflição,xe resaraî tekotebẽ-eté suí!
ficando a confundir as pessoas,o poromonã-monana
a vida eterna que eles terão no céu é a que mudará?,oîekûabokyba'eramape tekopuku ybakype semierekorama?
a segunda dele é a satisfação dos cônjuges,i momokõîndûara mendara moîekosupaba
de cada um de vós o senhor deus encarregou um anjo,pe îabi'õ pa'i tupã karaibebé moingóû
"que sejamos corajosos, sim, suportando as coisas dolorosas como tu","t'oré pyatã, angá, mba'easy porarábo nde îá"
por isso mesmo quiseram igualar-se todos a seu criador?,nd'e'i te'e serã oîemoîoîá-pá-potá o monhangara resé?
"leva minha alma que te ama, fazendo-a subir contigo",xe 'anga nde raûsupara erasó seroîeupi
folha tenra,sokyra
a causa de fuga do diabo é a água benta,anhanga nhegûasembaba 'ykaraíba
enfeites do rosto,tobá posanga
ele o faz em muito tempo,e'i ymuanĩ ahẽ i monhanga
"tomou-o como substituto de judas, que entregara deus-filho",îudas tupã ta'yra me'engarûera rekobîaramo tari
"em dois dias e no tempo de se fazer o terceiro, voltou a viver",ara mokõî i momosapysaba pupé o ekobeîebyri
"tinha também fome, tinha também sede como nós?","i ambyasy bépe, i 'useî bépe asé îabé?"
vem para o meu lado!,eîori xe posé
não ia para o céu outrora a alma de nenhum homem?,abá 'angûera amõ soe'ymi ybakype erimba'e?
"ah, que bom seria a morte do fulano por aí!",marãîasûaramo ahẽ kûepe se'õ mã!
"eis que percebendo isso, deixei ontem minha casa","kó anga andupa, aseîá kûesé xe roka"
do lado de fora dele,i apé koty
sua mãe nem sequer sangrou,i xy na sugûyî tiruã
"não há ali choro, não há doença, não há fome, sede também não há","n'i tybi a'epe îase'o, mba'easy n'i tybi, n'i tybi ambyasy, 'useîa bé n'i tybi"
coisas que costuma sofrer,mba'e o emimboraratyba
"ambas estas mãos, o número dez",opá kó mbó
pus as bordas dela,asembe'y-rung
fi-lo emagrecer,aîmoangaîbar
vivo retirando-as [quando são muitas coisas],anosẽ-sem
mentira),temo'ema
"vinde, levai os malditos, erguendo-os para sapecá-los em nosso fogo, moqueando-os","peîori, perasó muru, supi îandé ratápe sapeka, i monga'ẽmo"
foste traidor de tua esposa?,eremondarõpe nde remirekó suí?
"são famosos esses moçacaras, que são uns beberrões","serapûan kó mosakara, i kaûĩgûasuba'e"
por acaso trouxeste muitas coisas?,ereruretá serã?
eu estou-me amancebando,xe agûasá gûitekóbo
deleita-me muito,xe moapysy-katu
canavial,takûare'ẽ-ndyba
"que sejamos corajosos, sim, suportando as coisas dolorosas","t'oré pyatã, angá, mba'easy porarábo"
"água cheia grande, maré alta",ty-apogûasu
eu sou preto,xe run
rodeei-o,anhaman
veio um grande chefe de longe para te procurar,oú tubixá-katu mamõ suí nde reká
todos os seus discípulos para tuas mãos fazendo passar,opá o boîá nde pópe i mongûapa
fica! somente quando bebes cauim tu queres ser valente? palermão! centopéia!,epytá! kagûápe nhõ nde ratãngatu-potá? manemusu! ambu'a!
eu sou ciumento,xe rygûyrõbor
"assim, na verdade, eu determinei",emonã nakó xe rekopotari
forno para potes,kamusi rapŷaba
invocam as mulheres o pajé caruara,osekyî kunhã maîé karûara
querendo o abrandamento de nossa doença,asé mba'easy arybé potá
ajudaste alguém num roubo?,ereîpytybõpe abá mondá resé?
"sim, eis aqui também minhas garras","îé, kó bé xe pûãpẽ"
fá-lo sofrer o frio,îaîmomboreaûsu ro'y
"logo, decerto, passarás no lugar em que moro",koromõ ipó eregûatá xe rekoápe
mataste?,ereîukápe?
"se pôr a mão neste nosso fogo é terrível, tanto mais ali é terrível queimarem-se os homens eternamente","ikó îandé ratá pupé asé po'ẽma biã iî abaeté, memetaé a'epe aûîeramanhẽ abá kaîa o abaetéramo"
o que é felpudo,i îatyrá-tyraba'e
