source_text,target_text,id,modern_source_text
"ah, vencer-me-ão hoje!",xe reîtyk korine mã!,62,"Ah, eles vão me vencer hoje!"
"ao se aproximar o doente da agonia, que mandem chamar o padre","mba'easybora o mara'ara kakareme, t'osenõîukar abaré",63,"Ao se aproximar o doente da agonia, que chamem o padre."
diabo mau,anhangaíba,64,Diabo mau.
"eia, pois, sapo maneta!","ené, rõ, kururu-asyka!",65,"Eia, então, sapo maneta!"
"tão logo ao ouvir o nome dela, em outra parte eu me escondo",serenduba rupibé amongoty xe nhemimi,66,"Assim que ouvir o nome dela, eu me escondo em outra parte."
morrendo nós,îamanõmo,67,Nós estamos morrendo.
arroto fétido,eú-rema,68,Arroto fétido.
"eia, levemos adiante deles esta muçurana","ene'ĩ, t'îarasó senondé kó musurana",69,"Eia, vamos levar adiante deles esta muçurana."
escorei-o,aîokok,70,Eu o escorei.
os que moram em maratauá acreditam em minhas palavras,marataûãme tekoara ogûerobîá xe nhe'enga,71,Os que moram em Maratauá acreditam em minhas palavras.
o que é o único filho dele,ta'yra oîepeba'e,72,O que é o único filho dele?
livra-nos tu,oré pysyrõ îepé,73,"Livra-nos, você."
coloquei-o de boca para baixo,oobapybo aîmoín,74,Eu o coloquei de boca para baixo.
conhecendo a deus,tupana kuapa,75,Conhecendo a Deus.
meteu-te pelo pescoço,nde mondeb o aîurybo,76,Ele te meteu pelo pescoço.
caiu no chão,o'ar ybype,77,Caiu no chão.
"embora eles fossem obra d'ele, alguns anjos tornaram-se maus","aûîeté a'e semimonhangûera, karaibebé amõ amõ oîemoangaîpab",78,"Embora eles fossem obra dele, alguns anjos se tornaram maus."
todos os que confessou com os que escondeu voltará a confessar,o emimombe'upûera o emikuakugûera irũmo bé i mombe'uîebyrine,79,Todos os que confessou com os que escondeu voltarão a confessar.
"mas, de verdade",anhẽ ruãp'anhẽ,80,"Mas, de verdade."
ele mesmo certamente me guarda,a'e aé ipó xe rerekó,81,Ele mesmo certamente me guarda.
eu estou adoentado,xe mba'easyaíb,82,Eu estou adoentado.
mulher corajosa,kunhã-pyatã,83,Mulher corajosa.
estrebuchei,ababak,84,Eu estrebuchei.
"tomaste remédio, não querendo ficar grávida?",ereposangu'upe nde puru'apotare'ymamo?,85,"Você tomou remédio, não querendo ficar grávida?"
comendo-o ansiosamente sempre,korikoria'u i gûabo îepi,86,Comendo-o ansiosamente sempre.
eis que esses meus valentões sabem assassinar,kó a'e xe kyre'ymbaba oîkuá morapiti,87,Eis que esses meus valentões sabem assassinar.
"suportando a grande noite, estamos muito aflitos","putunusu porarábo, oroîkotebẽngatu",88,"Suportando a grande noite, estamos muito aflitos."
dar também o dízimo naquilo que plantou primeiro,o emitymbûerypy pupé tupã potá-me'engano,89,Dar também o dízimo naquilo que plantou primeiro.
acreditaste nas mentiras de alguém?,ererobîápe abá remo'ema?,90,você acreditou nas mentiras de alguém?
enfileiramo-nos,oroîoysyrung,91,nós nos enfileiramos
ofendeste tua avó?,ereîanga'ope nde aryîa?,92,você ofendeu sua avó?
eu sumi de vista,xe apykanhem,93,eu desapareci de vista
jejuar cada vez que a santa madre igreja mandar jejuar,santa madre igreja îekuaku-pûaîa îabi'õ îekuakuba,94,jejuar sempre que a santa mãe igreja mandar jejuar
"foi pregado na cruz, foi morto, foi sepultado","ybyraîoasaba resé i moîarypyrûeramo sekóû, i îukapyrûeramo, i tymbyrûeramo",95,"foi pregado na cruz, foi morto, foi sepultado"
"vituperaste teu pai, tua mãe, teu avô, tua avó?","ereîanga'ope nde ruba, nde sy, nde ramũîa, nde aryîa?",96,"você vituperou seu pai, sua mãe, seu avô, sua avó?"
aqueles serão os futuros habitantes do fundo de nosso fogo,aîpó îandé ratá gûyra porama,97,aqueles serão os futuros habitantes do fundo do nosso fogo
"o que é azul, o que é verde, o que é roxo",sobyba'e,98,"o que é azul, o que é verde, o que é roxo"
cortei-lhe a cabeça,aîakã-mondok,99,cortei a cabeça dele
estorva-me o senhor deus!,xe moarûá pa'i tupã!,100,"estorva-me, Senhor Deus!"
obedece bem a mulher a seu marido ao encarregá-la de boas coisas?,osapîá-katupe kunhã o mena tekó-katu resé o pûaîme?,101,a mulher obedece bem ao seu marido ao encarregá-la de boas coisas?
"um ou outro, porventura, foi mau alguma vez","oîepé-ĩombé, nipó, i angaîpab amõme é",102,"um ou outro, por acaso, foi mau alguma vez"
"de algum lugar, dalgures, de alguma parte",mamõ suí,103,"de algum lugar, de algum canto, de alguma parte"
dizendo a um canto de pássaro ou a um urro de onça que são agouros,gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo,104,dizendo a um canto de pássaro ou a um urro de onça que são agouros
"eia, pois, vamos estar sentados aqui","pene'ĩ, rõ, t'îasó ké îagûapyka îakupa",105,vamos nos sentar aqui
eu sou um jaguaretê comedor de gente!,xe îagûareteporu!,106,eu sou um jaguaretê comedor de gente!
"que tenhamos, em sua terra, junto de ti, a vida eterna","t'orogûerekó, setãme, nde pyri, tekopuku",107,"que tenhamos, em sua terra, junto de você, a vida eterna"
não ficou ninguém no lugar da batalha,n'opytáî amõ abá maranápe,108,não ficou ninguém no lugar da batalha
esse é meu antigo enforcador,akó xe îubykarûera,109,esse é meu antigo enforcador
"tempo, lugar, modo, etc de se lavar, de se batizar",moîasukaba,110,"tempo, lugar, modo, etc. de se lavar, de se batizar"
saiu vivendo após o enterrarem,"osem oîkobébo, o tym-y roîré",111,saiu vivendo após o enterro
"ah, quem me dera o tivesse matado!",aîuká me'ĩ mã!,112,"ah, quem me dera que eu o tivesse matado!"
a de protetora dos aflitos é tua fama sempre,moreaûsuba rerekoara nde rerapûana îepi,113,sua fama é a de protetora dos aflitos sempre
"assim como esta água lava o corpo da gente, aquela também","akó 'y asé reté moîasuka îabé, akûeîa îabé",114,"assim como esta água lava o corpo da gente, aquela também"
"se o que tem relações sexuais com uma solteira ou por ela se atrai transgride muito a palavra de deus, tanto mais o que perverte uma casada ou o que se atrai por ela","mene'yma resé oîkoba'e abiã koîpó sesé onhemomotaryba'e oîabyeté tupã nhe'enga, memetipó mendara momoxysara koîpó sesé nhemomotasara",115,"se quem tem relações sexuais com uma solteira ou se atrai por ela transgride muito a palavra de Deus, tanto mais quem perverte uma casada ou se atrai por ela"
há de ser coisa insignificante somente,a'uba nhote i por re'a,116,deve ser coisa insignificante apenas
no meio dos anjos fê-la subir,karaibebé pyterype supiri,117,no meio dos anjos fez ela subir
as marcas delas,i kuapaba,118,as marcas delas
qual é também o alimento de nossa alma?,mba'e abépe asé 'anga remi'u?,119,qual é também o alimento da nossa alma?
semelhante a uma roupa de querejuá que brilha mais que o sol,aó-kereîûá kûarasy sosé oberaba'e nungara,120,semelhante a uma roupa de querejuá que brilha mais que o sol
"conhecendo a deus, agora amo meu senhor jesus","tupana kuapa, ko'y asaûsu xe îara îesu",121,"conhecendo a Deus, agora amo meu Senhor Jesus"
anunciando nossa futura felicidade,asé rekokaturama mombegûabo,122,anunciando nossa futura felicidade
querendo confessar-se segundo o que determina a ele a santa madre igreja,oîemombe'u-potá santa madre igreja i mombe'u rupi,123,querendo confessar-se segundo o que determina a ele a Santa Madre Igreja
"elas, na verdade, são más, ficando a fazer pajelança","a'e, rakó, i angaîpá, oîemopaîé-paîébo",124,"elas, na verdade, são más, ficando a fazer pajelança"
dirigiu de novo pilatos sua fala aos judeus?,oîmoín-y bépe pilatos o nhe'enga îudeus supé?,125,dirigiu de novo Pilatos sua fala aos judeus?
grandemente a aflição oprime minh'alma,naetenhẽ ã tekotebẽ xe 'anga apypyki,126,grandemente a aflição oprime minha alma
ele virou cinza completamente,sugûé-katu,127,ele virou cinza completamente
"mandando fazê-los embarcar numa arca de madeira, semelhante a um navio","ybyrá karamemûã, ygarusu nungara pupé i mo'aruká",128,"mandando fazê-los embarcar numa arca de madeira, semelhante a um navio"
por isso mesmo é que constituiu os padres como seus apaziguadores,nd'e'i te'e abaré moingóbo o monhyrõsaramo,129,por isso mesmo é que constituiu os padres como seus apaziguadores
"pelos montes voando, fui para fazer pecar os tupis","ybytyrybo gûibebébo, asó tupi moangaîpapa",130,"pelos montes voando, fui para fazer pecar os tupis"
afligiu-se por se ter frustrado sua ida,o sorambûera resé sekotebẽû,131,afligiu-se por ter frustrado sua ida
vejo meu reflexo,anhe'angepîak,132,vejo meu reflexo
furtaste na roça de teu próximo?,eremondarõpe nde rapixaba kópe?,133,furtaste na roça de seu próximo?
"é formosa, certamente, a lua","î aysó, nipó, îasy",134,"é formosa, certamente, a lua"
tenho meu modo de ser diferente,xe rekó-aé arekó,135,tenho meu modo de ser diferente
com o bafo de sua boca sopra-nos o rosto,o îuru timbora pupé asé robá peîuû,136,com o bafo de sua boca sopra-nos o rosto
"eia, faze-me andar nas minhas virtudes",xe katûagûama ri ene'ĩ xe mbogûatábo,137,"eia, façam-me andar nas minhas virtudes"
malha de algodão grossa para a defesa na guerra,amynyîu-aó-poanama,138,malha de algodão grossa para a defesa na guerra
"em troca de sua criação, dei-lhe outra",seîmbaba rekobîáramo amõ aîme'eng i xupé,139,"em troca de sua criação, dei-lhe outra"
"antigamente, morrendo eu, o diabo, de repente, minha alma mataria com o pecado","akûeîme, gûimanõmo, anhanga, esapy'a, xe 'anga oîuká angaîpaba irũmomo",140,"antigamente, morrendo eu, o diabo, de repente, minha alma mataria com o pecado"
chegando com sua ferocidade,o nharõ rerobasema,141,chegando com sua ferocidade
ela está crua,i pyr,142,ela está crua
eu me fico levantando nas pontas dos pés,xe pyta'ã-ta'am,143,eu me fico levantando nas pontas dos pés
"eu sou um mísero índio, de fato",xe abá-aîbĩ anhẽ,144,"eu sou um mísero índio, de fato"
"como sois vós, por acaso?",-marã-piang peẽ?,145,"como são vocês, por acaso?"
"concavidade da nuca, depressão na parte inferior da nuca",atuá-pyko'ẽ,146,"concavidade da nuca, depressão na parte inferior da nuca"
não me detestam as prostitutas,na xe reroŷrõî sygûaraîybora,147,não me detestam as prostitutas
"poucos nesta aldeia moram, estando a salvar-se","mokõnhõ kó taba pupé sekóû, oîepysyrõmo okupa",148,"poucos nesta aldeia moram, estando a salvar-se"
tratando-se uns aos outros como que numa fraternidade,oîoasykûera ri îasûaramo oîoerekóbo,149,tratando-se uns aos outros como que numa fraternidade
que tipo de caça queres comer?,marãba'e so'o ereî'useî?,150,que tipo de caça você quer comer?
o que se iguala às mulheres,kunhã resé oîemoîoîaba'e,151,o que se iguala às mulheres?
aonde ele foi após acabar de comer?,mamõpe i xóû o mba'e-'u-pab'iré?,152,aonde ele foi após acabar de comer?
não prantear um ao outro é modo de atentar contra si mesmo,îoapirõe'yma rekóû îemomburûabamo nhẽ,153,não prantear um ao outro é um modo de atentar contra si mesmo.
embora eu já tivesse ido,îepémo xe só umani,154,embora eu já tenha ido.
entro na igreja só de vez em quando,aîké-pa'ũpa'ũ nhote tupãokype,155,entro na igreja só de vez em quando.
"basta! falo eu, sarauaia!","aûîé! anhe'eng, saraûaî!",156,"basta! falo eu, sarauaia!"
dei-o à luz,aîmo'ar,157,dei à luz.
"eu estou de rosto amarelo, eu estou pálido",xe robá-îub,158,"eu estou com o rosto amarelo, eu estou pálido."
"o que tem corpo, o que é corpóreo",seteba'e,159,"o que tem corpo, o que é corpóreo."
a lei primeira,tekó-ypy,160,a lei primeira.
confessa-se alguém antes de ir à guerra?,onhemombe'upe abá gûarinĩ-namo o só îanondé?,161,alguém se confessa antes de ir à guerra?
de mim comendo-as todas,xe suí i gûabo pá,162,de mim comendo todas.
fi-lo ter vontade de comer,aîmoîurué,163,fiz com que ele tivesse vontade de comer.
não existem mais absolutamente suas antigas terras,n'i tyb-angáî setãmbûera,164,não existem mais absolutamente suas antigas terras.
"que seja minha mãe, de fato",xe syramongatu t'oîkó,165,"que seja minha mãe, de fato."
"arrepende-te de tuas maldades, após teres comido alguma carne","eîmoasy nde angaîpagûera, to'o amõ 'u ré",166,"arrependa-se de suas maldades, após ter comido alguma carne."
"que não se desvie de deus, seu criador",t'oîaby umẽ tupã o monhangara,167,"que não se desvie de Deus, seu criador."
"então os anjos virão, chamando os mortos, tocando trombetas","a'ereme karaibebé ruri, te'õmbûera renõîa, mimbygûasu pŷabo",168,"então os anjos virão, chamando os mortos, tocando trombetas."
faço-o doente,aîmomara'ar,169,faço-o doente.
"que não fique de cara feia para ele, tratando-o bem","ta sobasy umẽ i xupé, serekokatûabo",170,"que não fique com cara feia para ele, tratando-o bem."
altibaixos,gûa'a-gûa'a,171,altibaixos.
var de argola de penas,aûã-myranga,172,vara de argola de penas.
o que tem beiço grande,sembegûasuba'e,173,o que tem beiço grande.
fazendo sua esposa trabalhar,o emirekó moporabykŷabo,174,fazendo sua esposa trabalhar.
"pela estrela que os guia, como a que mostra o caminho",îasytatá serekoarama resé pé kuabe'ẽsaramo,175,"pela estrela que os guia, como a que mostra o caminho."
manchas brancas do cabelo,a-titinga,176,manchas brancas no cabelo.
"à tona d'água, na superfície da água",y-ape'ara rupi,177,"à tona d'água, na superfície da água."
vi-o em meus sonhos,xe posaûsupe asepîak,178,vi-o em meus sonhos.
o homem que come objeto de furto ou que o leva para sua casa,abá mondarõagûera o'uba'e koîpó og okype ogûerasoba'e,179,o homem que come objeto de furto ou que o leva para sua casa.
o leme da embarcação,ygara ropytaerobakaba,180,o leme da embarcação
não pode uma pessoa casar-se ocultamente?,nd'e'ikatuîpe abá omendá-nhemima?,181,não pode uma pessoa casar-se ocultamente?
"ainda bem que não fui, pois",aûîeté pakó xe soe'ymi é,182,"ainda bem que não fui, pois"
que deve ser ungido de nós ?,mba'e-mba'epe asé suí i pitubypyra?,183,que deve ser ungido de nós?
já se juntaram por causa disso muitos moços bebedores de cauim,onheŷnhang umã sesé kunumĩetá kagûara,184,já se juntaram por causa disso muitos moços bebedores de cauim
faço minha futura casa,aîmonhang oka - fiz uma casa xe rokûama aîmonhang,185,faço minha futura casa
"guarda-te, após conhecer essa lei, de ter má vida","eteumẽ, aîpó tekó kuab'iré, tekó-poxy rerekóbo",186,"guarda-te, após conhecer essa lei, de ter má vida"
levou sua filha maria quando se completaram três anos,o membyra maria rerasóû mosapyr ro'y sykeme,187,levou sua filha Maria quando completaram três anos
logo no terceiro dia voltou a viver,ara mosapyra riré bé sekobeîebyri,188,logo no terceiro dia voltou a viver
o fraco que convido para comer,xe remipoîmembeka,189,o fraco que convido para comer
"deus deixou de amá-los, n'ele confiando fracamente","tupã osaûsupe'a, sesé oîerobîá-bebuîa",190,"Deus deixou de amá-los, n'Ele confiando fracamente"
"instrumento de enxotar moscas, abano de moscas",mberu mondoaba,191,"instrumento de enxotar moscas, abano de moscas"
celebrando a missa para a gente,missa ra'anga asébe,192,celebrando a missa para a gente
"quando tu vieste, já o tinha matado",nde rureme aîuká umûan,193,"quando você veio, já o tinha matado"
perguntou herodes sobre qualquer coisa para ele?,oporandupe herodes mba'e tetiruã resé i xupé?,194,perguntou Herodes sobre qualquer coisa para ele?
morrendo eu,gûimanõmo,195,morrendo eu
tomaste poção querendo o aborto de teu filho?,eremosangu'upe nde membyra akyrara potá?,196,tomaste poção querendo o aborto de seu filho?
que reparta teu filho um pouquinho de virtude conosco,t'oîmoîa'ok nde membyra tekokatu'ĩ amõ orébe,197,que reparta seu filho um pouquinho de virtude conosco
seu fiho já nasceu,i membyra o'ar umã,198,seu filho já nasceu
vereis também futuramente minha vinda sobre as nuvens,pesepîak irã ybytinga 'arybo xe rura béne,199,vocês verão também futuramente minha vinda sobre as nuvens
o que tem a bem-aventurança é o que é manso,tekokatu-eté rerekoara onherane'ymba'e,200,o que tem a bem-aventurança é o que é manso
"que dizes de costume, ensinando as pessoas?",marã erép'amẽ eporombo'ebo?,201,"o que você diz de costume, ensinando as pessoas?"
basta! eu estou muito contente,aûîé! xe rorybeté,202,basta! eu estou muito contente
dourei-o com ouro,aîmoîub itaîuba pupé,203,dourei-o com ouro
pelas matas,ka'abo,204,pelas matas
"assim como esta água lava o corpo da gente, também aquela","akó 'y asé reté moîasuka îabé, akûeîa îabé",205,"assim como esta água lava o corpo da gente, também aquela"
tenho desgosto por o ter levado,arasó tieté a'é,206,tenho desgosto por tê-lo levado
ainda não estou cozido,nd'a'éî gûiîypa ranhẽ,207,ainda não estou cozido
"ali atacando as moças, por desejá-las","a'epe kunhãmuku repenhana, i potasápe",208,"ali atacando as moças, por desejá-las"
pegou-se fortemente sua roupa com que ele foi castigado por o ficarem ferindo?,oîaratã serã i aoba i nupãsagûera i moperé-perebagûera resé?,209,pegou-se fortemente sua roupa com a qual ele foi castigado por ficarem ferindo-o?
"eu não tenho visão, eu sou cego",na xe resapysóî,210,"eu não tenho visão, eu sou cego"
naufraguei,aîepubuîereb,211,naufraguei
o diabo te detesta,anhanga nde momburu,212,o diabo te detesta
ajuntamento de aldeias,tá-tyba,213,ajuntamento de aldeias
seu criador de verdade,o moîangara tekatu,214,seu criador de verdade
como o viu se ele é o que não tem corpo?,"marãpe sepîaki, setee'ymba'eramo sekó e'ymeté?",215,como o viu se ele é o que não tem corpo?
como disse aos seus três discípulos após sua entrada no horto?,marã e'ipe o boîá mosapyr supé mitỹme o iké ré?,216,como disse aos seus três discípulos após sua entrada no horto?
anunciando os acontecimentos futuros,tekorama mombegûabo,217,anunciando os acontecimentos futuros
"este era, de fato, o meu intento",aîpó nakó xe rekopotasaba,218,"este era, de fato, o meu intento"
"como o revolutear de um urubu sobre coisas fedorentas, tu voltas o rosto para trás","urubu mba'enema 'arybo nhemoîereba îabé, nde atybak",219,"como o revolutear de um urubu sobre coisas fedorentas, você volta o rosto para trás"
faço-os ser ladrões de cauim,aîonong ka'umondá,220,faço-os ser ladrões de cauim
não foi à toa,na tenhẽ ruã,221,não foi à toa
"todos cercaram nosso senhor, achegando-se a ele",opá îandé îara moîari sesé osyka,222,"todos cercaram nosso senhor, achegando-se a ele"
porventura tornaram-se muito maus os homens?,onhemoangaîpabeté serã apŷaba?,223,porventura tornaram-se muito maus os homens?
ficaste usando como mulher o teu próximo?,ereîmotebi-tebipe nde rapixara?,224,você ficou usando como mulher o seu próximo?
"""sob o sono"" da alta noite, nas horas mortas da noite, em que todos dormem",pysaîekatu ké-gûyrybo,225,"""sob o sono"" da alta noite, nas horas mortas da noite, em que todos dormem"
eu estou muito arrepiado,xe pita'i-ta'i,226,eu estou muito arrepiado
sei-o tão bem como tu,nde îabé ixé i kugûabi,227,sei-o tão bem como você
"fazem aplacar a deus a si mesmos, ao eliminarem a dívida dos pecados de muitos anos",tupã oîmonhyrõ o îoupé setá nhẽ seîxutatá tekoangaîpaba repy-mondykápe,228,"fazem aplacar a Deus a si mesmos, ao eliminarem a dívida dos pecados de muitos anos"
no seu próprio ombro levanta a cruz,o ati'yba ri krusá osupi,229,no seu próprio ombro levanta a cruz
volta em nossa direção teus olhos compadecedores,erobak oré koty nde resá-poraûsubara,230,volta em nossa direção seus olhos compadecedores
estou prestes a ir,oebyraîarinhote aîkó,231,estou prestes a ir
"e por outra parte, semelhantemente, o próprio mar será mais terrível do que era seu costume",kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé,232,"e por outra parte, semelhantemente, o próprio mar será mais terrível do que era seu costume"
parece investir nossa carne contra nossa alma,onharõ-berame'ĩ asé ro'o îandé 'anga resé,233,parece investir nossa carne contra nossa alma
não vieram alguns anjos do céu?,nd'ouripe karaibebé amõ ybaka suí?,234,não vieram alguns anjos do céu?
"serão fedorentos, serão muito podres, corroídos de vermes e de bernes","i nem-eté, i tuîuk-eté, tasoka, ura remimongûyamone",235,"serão fedorentos, serão muito podres, corroídos de vermes e de bernes"
sendo tu bom,nde katuramo,236,sendo você bom
deseja ardentemente ver o nascimento de seu filho,o membyra 'arama osepîaka'ub,237,deseja ardentemente ver o nascimento de seu filho
elas são muito altas?,iîybaté-katupe?,238,elas são muito altas?
eu seco,xe rypab,239,eu seco
"homem parvoeirão, ignorantão",abá-tekokuabe'ymusu,240,"homem parvo, ignorante"
vaso de estanho,itaîy-kamusi,241,vaso de estanho
tua casa santa edificamos,nde rokangaturamûama oroîmoĩ,242,nossa casa santa edificamos
"ainda mais nosso corpo tem saudades de sua alma, sua verdadeira companheira, a que o faz viver",memetipó îandé reté o irũeté o moingobesara o 'anga repîaka'upa,243,"ainda mais nosso corpo sente saudades de sua alma, sua verdadeira companheira, a que o faz viver"
entregou-o bem em suas mãos,oîme'eng i pópe-katu,244,entregou-o bem em suas mãos
"adão, nosso primeiro pai, fez-nos perder verdadeiramente","adão, oré rubypy, oré mokanhemeté",245,"Adão, nosso primeiro pai, nos fez perder verdadeiramente"
ele há de ser teu espião!,nde manhanamo t'oîkóne!,246,ele há de ser seu espião!
envelheço,akakugûabakatã,247,envelheço
ver os doentes,mba'easybora repîaka,248,ver os doentes
"portanto, ando hoje com o provincial",angari abaregûasu arogûatá,249,"portanto, ando hoje com o provincial"
o cacho delas,saryba,250,o cacho delas
os antigos inimigos de são lourenço,são lourenço rupîarûera,251,os antigos inimigos de São Lourenço
fizeste chegar o pagamento como retribuição de um trabalho?,eresepy-mondykype marãtekó repyramo?,252,você fez chegar o pagamento como retribuição de um trabalho?
é bonita vossa terra?,i porangype pe retama?,253,é bonita a sua terra?
vou à roça,akopîasó,254,vou à roça
