source_text,target_text
"e ainda mais um batizado, transgressor da boa lei, ao encontrar um padre, se alegrará muito","memetipó nhemongaraibypyra tekokatu abŷara abaré supé ogûasema, sorybetéûne"
saí em fuga,asem îepé
tirei minha roupa,aîo'ok xe aoba
dou de beber às pessoas,apore'ym
oxalá ela estivesse sem roupa!,ikatupe nhẽ temõ mã!
eu faço bochecha,xe ratypygûasu
é enjoativa minha comida,i ting xe remi'u
calei minhas palavras,aîopyk xe nhe'enga
"ele estava nu, cobrindo-o sua própria mãe com seu véu","i katupenhẽ, i xy aé ipó opîá o akangaobĩ pupé"
"""vou para ir""",gûixóbo asó
vou em busca de meu pai,asó xe ruba pé
mas que vá para,pero-te t'osó
está pronto o guaitacá?,sekoaûîépe gûaîtaká?
"e aquelas mulheres não resistem, combatendo-os?",a'epe a'e kunhã n'onherani i momarana?
"vem, coisa fedorenta, coisa nojenta, borá, maritacaca, sanguessuga, tamarutaca!","eîori, mba'enem, mba'e-poxy, mborá, miaratakaka, sebo'i, tamarutaka!"
"você fez mexericos, contando as palavras de seu próximo?",nde mba'epûerype nde rapixarĩ nhe'engûera mombegûabo?
cada vez que se lembra dela,sesé o ma'enduara îabi'õ
fio embotado,aembé-korõîa
não deixarei de querer você,n'aîpotare'ymi xûéne
que bom que meu próximo tenha coisas boas!,aûîé ipó xe rapixara mba'e-katuramo
pelo deus verdadeiro faço perguntas a você,tupãeté resé aporandub endébe
eu fiz confusão,xe apatynã
"lanço da ocara, a parte da ocara contida entre, por exemplo, duas ocas",okarapupa'ũ
residente na capuava,kapŷápe tekoara
"envergonhem-se aqui também, após terem amado as coisas más.",penhenotĩ iké bé mba'e-memûã raûsub'iré
"livra-me, por favor!",xe pysyrõ îepé!
o que não é morto,miîukae'yma
"instrumento de desvio de água, sangradouro",y-mombîasaba
crendo na sua ida para o céu,ybakype i xoagûera rerobîá
visitando o interior de todas as ocas,opá okybỹnha supa
apalpaste seu ventre para matar seu filho?,eresungápe nde rygé nde membyra îukábo?
estou bem sozinho,oîepebẽngatu aîkó
infamam-me pelas costas,xe kupébo xe mombe'u
"cantemos um pouquinho, primeiro, para festejar bem o dia","t'îanhe'engá-mirĩ, ranhẽ, 'ara momorãngatûabo"
"ao dizer ""jesus"", o maldito tem medo","""jesu"" 'éreme, moxy sykyîéû"
"você deve confessar primeiro sua atração por eles no que diz respeito aos casados, depois",mendasara resendûara tekori
jazo acordado,aîubé
você afastou seu filho e seu escravo de suas amantes?,"ereîpe'ape nde ra'yra, nde remiaûsuba i agûasá suí?"
eu sou muito perebento,xe peré-pereb
"lentamente, enfim, o homem perde entendimento, sua vista aguda de outrora desaparece, tentando inutilmente falar","mbegûé é ko'yté abá tekokuá kanhemi, sesapysopûera kanhemi, o nhe'engabûera ra'ang îepébo"
esse nome é o que me convém,aîpó tera xe arõana
"destila suas lágrimas, por detestá-los",nde resa'y eîmondyky seroŷrõsápe
faca de taquara,takûá-kysé
"o laço está preso, o pássaro é que vai dentro dele, caindo","îusana oĩ nhote gûyrá aé osó i pupé, o'á"
mas o que vocês procuram nesta minha terra?,mba'e-tepe peseká kó xe retama pupé?
pau do casco,apé-'yba
"a terra, todas as nuvens que caem do céu a cobrirão",yby opá ybytinga ybaka suí o'aryba'e i aso'iûne
"existe a confissão, remédio portador de cura","oîkobé îemombe'u, mosanga mûeîrabyîara"
eu tenho pintas,xe pinim
a gente vê aquela coisa branca e sua redondeza também,"- akó morotinga, i amandaba bé asé osepîak"
espero-o no seu caminho,asapearõ
sobre o que será nossa conversa?,ma'e resé îandé nhomongetá?
tinto os pés dele,aîpy-gûang
eu coloquei o sapato,aîpyapasá-mondeb
extremidades das minhas mãos,xe pó apyra
mudei minhas palavras,asekoabok xe nhe'enga
ele está salgado demais,se'ẽ-moxy
hei de ir com você hoje,t'asó nde pyri kori
"você empregou alguém por ocasião de um feriado, fazendo-o trabalhar em algo?",ereîmoingópe abá 'aretéreme marã i moporabykŷabo?
muitíssimas lorotas invocaram contra ele,tenhẽngatupabẽ osykyî i xupé
"mostrando-o aos judeus, querendo fazê-lo ir, sem mais","îudeus supé sepîakuká, i mondó-nhẽ-motá"
fiz isso muito mal.,aîmonhang serã-serã
injúria recíproca,îoa'o
hei de comer todo o banquete de jacaré-guaçu!,t'a'u pá îakaregûasu pepyra!
"que eu possa conhecer você, meu pai tupinambá!",t'e'ikatu nde kuapa xe ruba tupinambá!
eu estou admirado com você,xe putupab nhẽ nde ri
"rio abaixo, a jusante",y-embykoty
"ah, meu pai!",xe rubĩ mã!
para o monte chamado calvário,ybytyra monte calvário 'îápe
colher de madeira,ybyrá pesẽ
trazendo o resplendor de deus,tupã beraba reru
casa de telha,kamusy-oka
posso vê-lo,a'ekatu sepîaka
lua cheia,îasy-obagûasu
eu estou esquelético,xe kangûer
"por não recear proclamar a fé em deus, os pecadores mataram são mateus","tupã rerobîara mombe'u posykyîee'yma resé, angaîpaba são mateus îukáû"
olhe para nós!,ema'ẽ oré resé!
pano de algodão,amynyîu-aoba
irrito-me habitualmente,xe îemoŷrõndûer îá
"logo depois de dizerem aquilo para ele, fez o pagamento por seu senhor no templo","aîpó oîoupé 'é abé, o îara repypûera reîtyki tupãokype"
enforquei-o,aîubyk
os peixes que ele apanha não são conforme a quantidade deles,n'i îáî pirá sembiara
escória do ferro,itá repoti
você acenou com a cabeça para alguma mulher?,ereîe'aîtykype kunhã amõ supé?
"se me mandasse, iria","xe mondórememo, asómo"
fecharam aquele túmulo com uma pedra grande,osokendab a'e karamemûã itagûasu pupé
eu tenho o andar escarrapachado,xe atá-îaî
fachos para iluminar o caminho pela escuridão,sesaý pytumimbyka rupi pé resapébo
untei as penas de pássaro,aîmongy gûyrá-aba
"venham, levem os malditos","peîori, perasó muru"
fazendo-nos ir para o céu,ybakype îandé sorama monhanga
quebra-se muitas vezes,osó-osok
deixei ontem minha casa para ouvir a missa dentro desta,aseîá kûesé xe roka kó pupé missa rendupa
"os que não acreditavam nele trabalharam em conjunto, ficando a flechá-lo",serobîasare'yma potyrõû iî ybõîybõmo
"retiraram-no para o pátio, colocando uma cruz em seu ombro","okarype senosemi, cruz nonga i ati'yba ri"
"antes que ele agonize verdadeiramente, que alguém me chame",i mara'areté e'ymebé t'osó abá xe renõîa
os homens esvaziam as cuias,oîmboapy abá kuîaba
como teus filhos estão nós,nde membyramo orokupa
sua fama é a de protetora dos aflitos sempre,moreaûsuba rerekoara nde rerapûana îepi
faço pedro ter roupa,aîmoaob pedro
"ali também estão os meninos, as meninas, as moças que guardaram seus corpos em deus","a'epe bé kunumĩ, kunhataĩ, kunhãmuku tupã resé ogûeté onongatuba'epûera rekóû"
"hei de ir para o rio dos paratis, ao bando dos tupiniquins","t'asóne parati'ype, tupinakyîa re'yîpe"
"como ele, também, curaste os doentes",supi bé eremombûeîrá mara'abora
dois homens,mokõî apŷaba
eu sou torto,xe apẽ
"transtorno o coração das velhas, irritando-as, fazendo-as brigar","aîpobu gûaîbĩ py'a, i moŷrõmo, i momarana"
"além disso, atraem-nos o cauim transbordante nas igaçabas",ygasápe kaûĩ-tuîa a'e ré îamomotá
"corrija-os, censure-os, para que queiram livrar-se do inferno","enonhẽ, eîakaká, t'oîepysyrõ-motá anhanga ratá suí"
"existe meu auxiliar verdadeiro, o que trabalha junto de mim.","oîkobé xe pytybõanameté, xe pyri marãtekoara"
a vida eterna que eles terão no céu é a que mudará?,oîekûabokyba'eramape tekopuku ybakype semierekorama?
pena de tucano para dança,tukana tá-poraseîa
vamos ver se vem!,tera'umo ou!
"mostra-se com firmeza, está fixo",ten e'i
eu estou muito quebrantado,xe pitubarusu
"eu estava descalço, meus pés se soltaram",xe py-'ir
e todas as coisas futuramente queimarão?,a'epe opá irã mba'e kaîne?
"roçado antigo, onde o mato cresceu de novo",kopûera
por quê?,mba'e resé?
"igualmente, após dar à luz, estando virgem","a'erame'ĩ i mbo'ar'iré, omarane'ymamo"
você foi à roça no domingo ou em algum dia de guarda?,erekopîasópe domingo koîpó 'areté amõ pupé?
eu tenho um preço baixo,xe repy-mokonhõ'ĩ
"vem, mãe de meu senhor, para fazê-lo estar contigo dentro da minha alma","eîori, xe îara sy, xe 'anga pupé serupa!"
no seu próprio ombro levanta a cruz,o ati'yba ri krusá osupi
"eia, reze por nossa virtude!",katunhẽ eîerurébo oré katûagûama ri!
eu estou amontoado,xe rapûá
"sendo isso assim como é, vocês também não reconhecem que os enterrarão?",aîpó e'ymetépe peẽ bé ybŷa pe tymagûama na peîkuabi?
vou para casa,asó okype
"fá-los-ei correr comigo, fá-los-ei voar comigo","anonhan, arobebéne"
comedores de carne humana!,mba'e-poru!
"assim que eu fui, ele veio",xe só abé turi
ame seu criador,pesaûsu pe monhangara
você trouxe algumas facas de ferro?,ererupe itá kysé amõ?
você vive?,-endépe ereîkó?
arrepende-se muito de seus pecados em seu coração,omboasy-katu o angaîpaba o py'ape
"toda a aflição envolvendo o homem, enfim",opá tekotebẽ abá amana ko'yté
receio levá-lo,arasó-poûsub
acreditando no filho dela,i membyra rerobîá
"ontem, é verdade que alguns sumiram","kûeîsé, rakó, amõ kanhemi"
é difícil para mim tentá-los,i abaí xébo sa'anga
queimarão vocês as chamas!,pe rapy tatá-endyne!
dourei-o com ouro,aîmoîub itaîuba pupé
vou beber água,asó 'y gûabo
viemos muitos,oroîurusu
"o que delata, o delator",kuaukasara
quem será como eu?,abá serã xe îabé?
mas não enfiará a gente a mão na sua boca para parti-lo?,nd'opo'ẽî xûé-tepe asé o îuru pupé i mbo'iragûama reséne?
agi ordenadamente para que fique com vocês,peîkó-aturõ t'oby'ar pe ri
pescador,îeporakasara
"os que foram seus companheiros, seus ex-companheiros",irũmbûera
"embora seja vinho, assim que o padre pronunciar as palavras de nosso senhor jesus cristo, é seu sangue, na verdade","kaûĩ biãaûîé, îandé îara îesu cristo nhe'engûera abaré sa'angireme, sugûyramo nhẽ sekóû"
ele é muito grosso,tubixabeté
eu lavro as madeiras,aybyrá-pan
estou quieto,aîubĩ
após vertê-la dentro do recipiente em que a bebe ou de alguma casca de coco,i gûaburu koîpó inaîagûasu apepûera amõ pupé i nhang'iré
que eu esteja com você,t'aîkó nde irũ
estou quieto,aîubĩote
despejei-o,asekoabok
que estejam atacando pessoas,t'oporepenhã oîkóbo
"casa que seria, o que seria casa",okambûera
"como símbolo de sua união com ela, temos o casamento",sesé i nhemonanagûera ra'angabamo mendá îarekó
"lado a lado, seus cadáveres estavam ao longo do mar",o îoybyri se'õmbûera paranã ybyri i kûáî
"ah! na verdade hei de me enfeitar, pintando-me de preto",erĩ! aûîeté-pakó aîegûak ûinhemoúna
dentro dela está sua divindade?,i pupépe i tupã rekóû?
torci isso,aîpepyr
lembre-se bem de deus-filho ter-se feito menino por sua causa,nde ma'enduá-katu nde resé tupã ta'yra nhemokunumĩagûera resé
faço mingau,aîapó minga'u
"para confortar sua alma, nós o ficamos abraçando","nde 'anga moapysykápe, oroîaîubã-îubã"
eles não verão sequer seu corpo brilhante?,seté-beraba tiruãpe n'osepîaki xûéne?
um prisioneiro vocês sempre me libertam,mundepora amõ îepé peîmosemukar ixébe îepi
eu faço intervalos em minhas entradas na igreja,aîmopa'ũ-pa'ũ nhote tupãokype xe reîké
três dedos dos pés,mosapyr mysã
o ofício de pedro,peró rekoaba
eis que procuramos jesus de nazaré,iesus nazareno ikó orosekar
grudei penagens nele,aîgûaîaý-moîar
tenho relações sexuais com ela,aîkó sesé
"mostram-se a urdir mentiras, ficando a provar poções","e'i mo'ema monhanga, mosanga ra'ã-ra'anga"
você ficou detendo consigo alguma pessoa?,ererokûé-rokûerype abá amõ?
"fica pondo armadilhas, querendo fazer a gente entrar","oîekotyrũ-tyrung, oporomoingé-potá"
não estou acostumado,n'abîari
a ele a gente pede pelo futuro viver de sua alma?,i xupépe asé îeruréû o 'anga rekorama resé?
faço trejeitos com a boca,xe îuru-memûã
"como o revolutear de um urubu sobre coisas fedorentas, você volta o rosto para trás","urubu mba'enema 'arybo nhemoîereba îabé, nde atybak"
para onde a multidão numerosíssima levou nosso senhor?,mamõpe erimba'e te'yî-katupabẽ îandé îara rerasóû?
constantemente,-mba'e-mba'eremepe asé îeruréû i xupé? -îepi nhẽ - em que ocasiões a gente reza para eles?
fez vir outrora alguma coisa boa do céu para seus discípulos?,oîmbourype erimba'e mba'e-katu amõ ybaka suí o boîaetá supé?
você acredita na dança do guajupiá?,ererobîarype gûaîupîá moraseîa?
eu me desviei,apîá
"cobrindo-o sua própria mãe, na verdade, com seu véu",i xy aé ipó opîá o akangaobĩ pupé
"e os cristãos transgressores da palavra de deus, o que lhes sucede?","a'epe cristãos tupã nhe'enga abŷara, marã?"
eles estão bem felizes,sory-porang
que experimentemos a força dos homens conosco,t'isa'ang apŷaba marã îandé irũ
de que parte? de que lado?,marãngoty suí?
"vem, coisa fedorenta!","eîori, mba'enem!"
tosei bem,aîmoapererá-katu nhote
"cura-se algumas vezes, segundo os desígnios de deus para a gente","opûerab amõnyme, tupã asé rerekokuapaba rupi é"
embarquei,a'ar
saí há pouco dele,asẽ amo'ĩ i xuí
abraçando a cintura do seu companheiro,nde rapixara ku'a îubana
amo-o em vão,asaûsub-a'ub
estareis aflitos hoje.,pe poreaûsu korine
aqui também está meu rabo comprido,kó bé xe rûaî-puku
e judas não se afligiu junto aos judeus por entregar a seu senhor?,a'epe îudas n'oîkotebẽî îudeus supé o îara me'engagûera resé?
os restos de nossos pecados,asé angaîpaba rembyrûera
enquanto eu falava,gûinhe'enga abé
"logo, com certeza, você passará no lugar onde moro",koromõ ipó eregûatá xe rekoápe
censuram? quem?,oporakakab? abá?
eis que eu tenho sede,xe 'useî ã
me aquentam,xe pé
aonde ele foi após acabar de comer?,mamõpe i xóû o mba'e'u-pab'iré?
ajudando-os sempre,i pytybõmo îepi
"estando a destilar coisa quente, coisa muito amarga","mba'e-akuba, mba'e-robeté tukutuku okûapa"
"eu sou cristão, eu sou virtuoso","xe cristão, xe karaí"
maltratar o seu próximo,o apixara rerekoaíba
são pedro puxou a espada,s pedro itangapema osekyî
"finjo que o levo, faço de conta que o levo",arasó-rasó-a'ub
eu tenho bafo fedorento,xe ybĩî-rem
"poucos nesta aldeia moram, estando a se salvar","mokõnhõ kó taba pupé sekóû, oîepysyrõ okupa"
recipientes de pólvora,mokaku'i-uru
com algumas coisas que são saborosas,amõ seba'e irũmo nhẽ
mandou trucidar as crianças habitantes da aldeia de belém e também as habitantes das vizinhanças dela,taba belém pora pitanga i amundaba pora abé apiti-ukari
querendo ir você para o lado de gente,mosé esó-potá
como meus súditos eu os tenho bem em minhas mãos,xe boîáramo pabẽ xe pópe arekó-katu
"vem, ó meu senhorzinho, para que minha alma esteja muito feliz por causa do seu nascimento","eîori, xe îarĩ gûé, ta sorybeté xe 'anga nde 'aragûera resé"
que eu afaste o proceder antigo para que não esteja no mal,tekopûera t'aîpe'a t'aîkó umẽne marani
o aleijado de orelhas,nambi-asyka
deseja ardentemente ver o nascimento de seu filho que se forma em seu ventre,o membyra gûygépe onhemonhangyba'e 'arama osepîaka'ub
"eu sou um espião, um velho covarde","xe manhana, manembûera"
as doenças da alma do homem com ela saram bem,abá 'anga mara'ara i pupé opûeîrá-katu
"antigamente eu estava aflito, praticando meus vícios","akûeîme aîkotebẽ, xe rekopoxy purûabo"
hei de comer seus miolos,i 'aputu'uma t'a'u
"que você confesse a transgressão da palavra de deus, a persistência nisso também","tupã nhe'enga abŷagûera t'ereîmombe'u, apore'ymagûera béno"
"é assim, porventura, que você responde às palavras do chefe?",emonã-pipó morubixaba erenhe'engobaîxûar?
cuide para não abandonar sua obra,teumẽ nde rekó mote'ebo
toma-nos a dianteira sempre o diabo,îandé rokesỹ memẽ anhanga
dentro daquele navio fazendo-os embarcar consigo também,a'e ygarusu pupé sero'arukáno
"a dança é que é boa, enfeitar-se, untar suas penas","moraseîa é i katu, îegûaka, sa-mongy"
defequei,aka'ab
o que se batiza,oîasukyba'e
não! meu quinhão é você!,aã! xe potaba nde!
"indo para fora, deixando de ouvir missa","kûepe osóbo, missa renduba reîá"
"no caso de você desejar muito mesmo, que se faça","nde i potasábo-katu é, t'onhemonhang"
eu sou mocho,xe aterẽ
eu tenho diarreia,xe rebykasy
os guardadores de cabra querem visitar seu senhor,sygûasumé rerekoara oîosu-potá o îara
saiu para o pátio chorando muito dolorosamente,osem okarype oîase'oasykatûabo
conheceu sua verdadeira bondade,oîkuab i marangatueté
o que cria mentiras por causa de alguém,abá resé mo'ema oîmonhangyba'e
podemos trocar seu próprio nome ao receber aquele?,e'ikatupe asé aîpoba'e rasápe ogûera rekobîarõmo?
eu tenho casca erguida,xe pé-bur
é comum os bons homens tratarem bem as pessoas,sekoab apŷabangaturama i porerekó-katu
celebrando a missa para a gente,missa ra'anga asébe
"um frio que fará as pessoas tremerem muito, fazendo-as chorar","ro'y oporomoryryîeteba'e, i moîasegûábone"
oxalá ele não tivesse coisas boas!,n'i mba'e-katuî xûé-temo ahẽ mã!
um só é o conteúdo da minha rede,oîepé xe pysá pora
o homem que comete furto de algo,abá mba'e resé omondarõba'e
eu estou me agitando,xe akurẽ-kurẽî
"estava longe a sua lembrança das coisas, enquanto estava a devanear?",oîkó kûepe mba'e resé nde ma'enduara enhemongetábo ekupa?
pesco com rede,aîeporakar
fez suas almas e seus corpos,i 'anga seté monhangi
eu o escorei.,aîokok
tomo-o no meu ombro,xe ati'yba ri aîar
"para uma grande escuridão, na verdade, iriam",pytunusupe émo i xóûmo
atravessar a água elimina a sujeira dos pés,y aé rasaba mby ky'a îaîmomemûã
"depois disso, cuide-se para não ser mau",angyba'e roîré teumẽ nde poxyramo
estando de cor preta,moroún oîkóbo
pense em vir para os assustar.,oú-mo'ang pe mondyîa
meus dentes tiritam xe rembé-tatak - meu beiço tirita,xe rãîtatak
elas são muito altas?,iîybaté-katupe?
você ofendeu sua avó?,ereîanga'ope nde aryîa?
é verdade isso?,anhẽpe ûĩé?
eleva a cruz sobre seu próprio ombro,o ati'yba ri kurusá osupi
na parte de dentro da embarcação,ygá-pype
"é bonita esta igreja, contendo muitos enfeites!","i porang kó tupãoka, îegûakabetá rerupa!"
sua alma está muito branca,i morotĩngatu nde 'anga
furna em penedos ou rochas,itá-kûarusu
que mal eu fiz outrora,akûere'õ xe rekóû rimba'e re'ĩ
"e, por outro lado, semelhantemente, o próprio mar será mais terrível do que foi seu costume",kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
você ficou quebrando a cabeça de seu filho antes de abortá-lo?,ereîakangá-ngápe nde membyra i akyrar-y îanondé?
"conhece bem as guerras, ficando à espera escondido das pessoas","oîkuá-katu marana, morapearõ-arõmo"
"e não confessando ser parente verdadeira de seu marido, o que acontece?","a'epe o mena mũetéramo sekó mombe'ue'yma, marã?"
lavadora ou lavador de roupas,aopotukasara
"ao chegar o oitavo dia, cortaram seu prepúcio",mokõî oîoirundyk oito 'ara sykeme i 'apira mondoki
alguma cobra grande vai me engolir por aqui,xe mokõ kûepe mboîusu amõne
"quem mais não o transgride, não jejuando?",-abá abépe nd'oîabyî oîekuakube'yma?
por acaso é o lourenço tostado?,rorẽ-ka'ẽ-piã?
"ah, quem me dera uma mulher viesse para o meu lado!",our temõ kunhã xe posé mã!
não tendo nojo de mim,xe suí oîegûarue'yma
"mas não foste você, porventura, que se atraiu pelas mulheres?",na nde ruã-te-pakó kunhã ri ereîemomotá?
você pensou em alguma mulher?,nde py'anhemongetápe kunhã amõ resé?
"ah, oxalá ele viesse!",marãîasûaramo turi mã!
"estando nós no amor de deus, temos a verdadeira felicidade","tupã îoaûsuba pupé îaîkóbo, tekokatu-eté îarekó"
beijei-o,aîpyter
os beatos e os santos que deus faz ir consigo para o céu são muitos,marangatuba'e santos ybakype tupã remieroîeoîa setá
os cristãos não eram muitos,karaíba na setáî
seus matadores repartiram-nas uns com os outros,i îukasarama oîmoîa'ok o îoupé
coloque uma cruz diante deste doente como objeto da visão de seus olhos,peîmoín amõ cruz oîepé kó mara'abora robaké sesá ma'ẽndabamo
sou hábil,xe pokarugûar
trazendo algumas linhazinhas,inimbó'i amõ reru
hei de reavivar a velha guerra,t'aîopũne marandûera
você teve relações com uma virgem também?,ereîkópe kûare'ymano resé?
são muitas as coisas que impossibilitam os casamentos,setá mba'e mendara moabaipaba
obedeceremos a suas palavras quando ele determinar a respeito do futuro procedimento de nossa alma?,"osapîápe asé i nhe'enga, o 'anga rekorama resé o moingóremene?"
esbofeteei suas nádegas,sebira aîpetek
meu senhor me mata,xe îuká xe îara
não estaremos mais aflitos,nd'oroîkotebẽ béî xóne
e no caso de não acabar sua dívida neste mundo?,a'epe ikó 'ara pupé sepy syke'ỹme?
adversário antigo dos franceses,aîuruîubupîarûera
"são tiago, primo de jesus cristo, apóstolo, entregou sua cabeça e sua vida","s tiago, îesu cristo ri'yra, apóstolo, o akanga o ekobé me'engi"
deve ter ido,osó ipó re'a
"o que é viúvo, o viúvo",seremirekoe'õba'e
chamusquei-o,asereb
recusando uma criança,pitanga kuakupa
"argumentei contra suas palavras, em vão",aînhe'engapypyk îepé
"depois disso, os malvados estão alta noite atacando pelas costas os maridos das mulheres","a'e ré, moxy rekóû pysaîé kunhã mena kupea'pa"
eu estou desinchado,xe rurunhyng
"quando o sol estava no alto de nossas cabeças, eu vim","asé 'apyterype 'ara ruî - no alto de nossas cabeças o sol está îandé 'apytera 'arybo 'ara rume, xe ruri"
eu sou ligeiro de mãos,xe poapyî
"os que se casam transgridem muito a palavra de deus, sendo traidores um do outro?",oîabyetépe omendaryba'e tupã nhe'enga o îosuí omondarõmo?
esbofeteei a nuca dele,aîatuá-petek
comendo-o ansiosamente sempre.,korikoria'u i gûabo îepi
mandou pregar suas pernas para cima,ybaté koty ogûetymã moîarukari
catorze são aquelas coisas em que acreditaremos,catorze asé remierobîarama
sus! vão!,pene'ĩ pesóbo
"por isso mesmo as malditas correm, insultando-se muito umas às outras",nd'e'i te'e moxy onhana oîoa'o-marangatûabo
nos revezamos uns com os outros,oroîoporu
bendita és entre as mulheres,i mombe'ukatupyramo ereîkó kunhã suí
"com cravos espetando suas mãos, pregando-as","itapygûá pupé i pó kutuka, i moîá"
"ah, como será a morte do fulano por aí?",marã îasûaramo ahẽ kûepe se'õ mã?
"você é a manhã, causa verdadeira da alegria do dia","nde ko'ema, 'ara rorypabeté"
"quebrador de pedras, cavouqueiro",itá kasara
"eu mesmo sou quem o queimou, no tempo em que ele vivia","ixé aé sapysarûera, sekobeaba resé"
"eis que eu amo suas almas, aformoseando-as, embelezando-as","xe ikó asaûsu pe 'anga i moaysóbo, i momoranga"
socorri-o,asepenhan
"eu sou um guará-guaçu, uma onça","xe agûaragûasu, îagûara"
trouxe todo o peixe,aru-pab pirá
sendo você deus também,tupãnamo eîkóbo bé
você detesta completamente a confiança dele em si mesmo?,ereroŷrõ-mbápe o îoesé i îerobîara?
