source_text,target_text
abundar-me-á futuramente toda a felicidade desejada,xe resemõ irã mba'ekatu-pabẽ i potarypyra
"os chefes velhos falam sempre a eles, repreendendo-os, censurando-os","morubixaba tuîba'e onhe'eng memẽ i xupé, senonhena, i akakapa"
vem para fazê-lo experimentar o sofrimento,eîori i moporaraa'anga
ele tomou os traços dos olhos de seu pai,og uba resá ahẽ ogûar
fiz meu filho dormir comigo,aroker xe ra'yra
vem para te compadeceres de nós,"eîori, oré raûsubá"
eu sou curto,xe apûa'ĩ
fi-la engravidar,aîmomburu'a
como será que um habitante do inferno viveria neste mundo?,marãeté'ĩ ra'umope amõ anhanga ratá pora rekóû ikó 'ara pupé?
eu meço a profundidade do rio,aty-ypy-a'ang
fruto dela,i 'a
cada vez que se lembra dela,sesé o ma'enduara îabi'õ
não cometas furto,emondarõ umẽ
que os comam os que ficaram em nossas casas,t'o'u îandé roŷpyrûera
não há muitos restos deles,n'i tyb-etáî semyrûera
alimentando-o um pouco em teu seio,i poîa-mirĩ nde kama pupé
eu fiz confusão,xe apatynã
"lanço da ocara, a parte da ocara contida entre, por exemplo, duas ocas",okarapupa'ũ
residente na capuava,kapŷápe tekoara
"esses, enfim, não diferem da cobra, isso porque a cobra, antes de fazer destruir a vida daquele que morde, deixa sua própria vida ao pisarem sua cabeça","aîpoba'e tene nd'oîabyî mboîa, mba'etakó mboîa o emindu'u rekobé mokanhemukar-y îanondé, o ekobé reîari o akanga patukasagûerype"
matei já os tupis,aîuká umûã tupi
o que não é morto,miîukae'yma
lanço [à água] a canoa,aîtyk ygara
crendo na sua ida para o céu,ybakype i xoagûera rerobîá
visitando o interior de todas as ocas,opá okybỹnha supa
apalpaste teu ventre para matar teu filho?,eresungápe nde rygé nde membyra îukábo?
amo teu filhinho,asaûsub nde membyrĩ
"tu te preocupaste com que teu filho, os que estão em tua casa, teus vizinhos ouvissem a missa desde o começo dela?","erenhemosaînanype nde ra'yra, nde roka pora nde rambyagûá missa iî ypyrungápe sendubagûama ri?"
ela é leitosa,i 'aysyk
"ao dizer ""jesus"", o maldito tem medo","""jesu"" 'éreme, moxy sykyîéû"
havemos de chegar ao céu,t'orobasẽne ybakype
digo a verdade,anheté a'é
afastaste teu filho e teu escravo de suas amantes?,"ereîpe'ape nde ra'yra, nde remiaûsuba i agûasá suí?"
eu sou muito perebento,xe peré-pereb
que deteste a vida má,t'aroŷrõ tekomemûã
que me livre das dificuldades,ta xe pysyrõ marãtekó suí
lançaste algum menino que estava aconchegado a ti sobre ti por desejo sensual?,ereîtykype kunumĩ amõ nde abiîxûara nde 'arybo moropotara suí?
faca de taquara,takûá-kysé
vendo os pagãos a virtude dos cristãos,cristãos rekokatu repîaka é ipó imongaraibypyre'yma
mas que procurais nesta minha terra?,mba'e-tepe peseká kó xe retama pupé?
e como alguém procederá encontrando aquilo que esqueceu?,a'epe marã abá rekóû a'e o esaraîagûera supé ogûasemane?
grudei penagens nele,aîgûaîaý-moîar
eis que sobre o capim ele está deitado,kapi'i sosé kó tuî
"boquitorto, homem da boca torta",abaîuru-apẽ
a gente vê aquela coisa branca e sua redondeza também,"- akó morotinga, i amandaba bé asé osepîak"
"quer ter relações sexuais com ela, como de costume",oîkó-potá sesé îandu
evita ir,eteumẽ esóbo
para nos honrar os índios fazem festa,îandé moetébo apŷaba nhemosaraî
de que parte? de que lado?,marãngoty suí?
extremidades de minhas mãos,xe pó apyra
o que é cabeçudo,i akangagûaba'e
vais em busca de meu pai?,xe ruba supépe eresó?
"tenho meu modo de ser diferente , oré rekó-rekó-aé oroerekó - temos nossos modos de ser diferentes",xe rekó-aé arekó
a mãe de deus está sabendo todas as coisas,tupã sy opabenhẽ mba'e oîkuab oîkóbo
"de que parte de, de que lugar específico?",umã suí-katu?
"mostrando-o aos judeus, querendo fazê-lo ir, sem mais","îudeus supé sepîakuká, i mondó-nhẽ-motá"
fi-lo muito mal,aîmonhang serã-serã
"já se juntaram por causa disso muitos moços bebedores de cauim, os pervertedores desta aldeia","onheŷnhang umã sesé kunumĩ-etá kagûara, kó taba moangaîpapara"
forçaste uma solteira antes de lhe fazer mal?,ereîukaípe mendare'yma i momoxy îanondé?
que possa conhecer-te meu pai tupinambá!,t'e'ikatu nde kuapa xe ruba tupinambá!
"tão logo ao sair a alma da gente de seu próprio corpo, seu envoltório, deus a julga","ogûeté suí, o uru suí, asé 'anga sẽme bé, tupã sekomonhangi"
"rio abaixo, a jusante",y-embykoty
"ah, meu pai!",xe rubĩ mã!
"sofrendo tudo o que é doloroso, que não se mitigará",opakatu sasyeteba'e i arybeba'erame'yma porarábo
"nessa igreja maria cresceu e, após a maturidade dela, deus entregou-a a são josé","kó tupãoka pupé maria kakuabi, i aûîé ré é tupã i me'engi são josé pé"
olha bem para nós!,ema'ẽngatu oré ri!
"disseste falsamente que ele disse isso, sendo maledicente?","""-e'i kó"" eré tenhẽpe nde îuruaíbamo?"
não estaremos mais aflitos,nd'oroîkotebẽ béî xóne
"por isso mesmo os moços, por os convidarem os chefes, entram sempre no lugar de beber cauim","nd'e'i te'e kunumĩgûasu, morubixaba o sogûápe, oîkébo memẽ kagûápe"
não trouxe nenhum parati,nd'aruri amõ parati
"por não recear proclamar a fé em deus, os pecadores mataram são mateus","tupã rerobîara mombe'u posykyîee'yma resé, angaîpaba são mateus îukáû"
"haveria de morrer, na verdade, antes de se batizar",omanõ îepémo oîemongaraíb'e'ymebé re'a
pano de algodão,amynyîu-aoba
"coloquei uma ponte, fiz uma ponte",anharybobõ-rung
o cão é ávido,i mba'e-potar îagûara
"ruim por ruim, ele é, de fato, um pouco melhor",ahẽ nakó i angaturã-be'ĩ
ralando-o,seébo
aí são muitas as mulheres que se estão oferecendo para deus,a'epe se'yî kunhã tupã supé onheme'engyba'e oîkóbo
"ah! na verdade hei de me enfeitar, pintando-me de preto",erĩ! aûîeté-pakó aîegûak ûinhemoúna
toco de braço,îybá-asyka
apressam-me estes meus súditos,xe moanhẽ kó xe boîá
"ele, de costume, agiria de outra maneira",marandé ipó ahẽ rekóû nhandu
fachos para iluminar o caminho pela escuridão,sesaý pytumimbyka rupi pé resapébo
"prenseiro, o que prensa",pokasara
ribanceira da terra,yby-esapykanga
amarrei penas de asa nela,aîpepó-pûar
quebra-se muitas vezes,osó-osok
fica aumentando sua bondade,i angaturama nhẽ oîrumõ-rumõ
"os que não acreditavam nele trabalharam em conjunto, ficando a flechá-lo",serobîasare'yma potyrõû iî ybõîybõmo
faço pedro ser padre,aîmoabaré pedro
"antes que ele agonize verdadeiramente, que vá alguém me chamar",i mara'areté e'ymebé t'osó abá xe renõîa
"enfim, esses temiminós não acatam a lei de deus","aûîé, kó temiminõ nd'ogûari tupã rekó"
os homens esvaziam as cuias,oîmboapy abá kuîaba
"são muito molestos, certamente, os tropeços de nossa caminhada, o fatigar-se","iî abaibeté nhẽ rakó asé atá mysakanga, asé mopytubara"
a de protetora dos aflitos é tua fama sempre,moreaûsuba rerekoara nde rerapûana îepi
eu sou rechonchudinho,xe apebĩ
querendo que eles se afastem de deus,tupã suí i îepe'a-potá
vou buscar água,a'ypîasó
"como ele, também, curaste os doentes",supi bé eremombûeîrá mara'abora
que queres?,ma'epe ereîpotar?
acaso trouxeste muitas coisas?,ereruretá serã?
realizar-se-ão futuramente,i por irãne
"eu sou guaixará bebedor de cauim, grande cascavel, onça, trucidador de gente","gûaîxará kagûara ixé, mboîtiningusu, îagûara, morapitîara"
tomou o pão em suas mãos,miapé rari o pópe
invocando a deus ou sua própria alma ou a cruz ou algo verdadeiro,tupã koîpó o 'anga koîpó cruz koîpó anheté renõîa
a vida eterna que eles terão no céu é a que mudará?,oîekûabokyba'eramape tekopuku ybakype semierekorama?
homem soberbo,abá-poroîukaíba
"lourenço tostado atou minhas mãos, queimando-me, oprimindo-me","rorẽ-ka'ẽ xe popûá, xe rapŷabo, xe apypyka"
fazendo-os levantar imediatamente,i mopu'ama kûeîeténe
eu estou muito quebrantado,xe pitubarusu
"o homem desanima, sem mais, de suas danças também",omanõaibí abá o poraseîtápe bé
e todas as coisas futuramente queimarão?,a'epe opá irã mba'e kaîne?
eu estou embasbacado,xe rembeirĩ
"que eles gritem, chorando!","ta sasẽ, oîasegûabo!"
"roupa verde, pano verde",aoboby
esses homens são os que portam riquezas para nós,aîpó abá ma'e îara îandébe
eu sou alto,xe puku
levou-o com suas ataduras,i popûasaba resebé serasóû
no seu próprio ombro levanta a cruz,o ati'yba ri krusá osupi
hei de me aproximar de minha futura e verdadeira vida,arokakar xe rekobé-etérama re'ĩ
sei lá!,sé ruã!
essas serão as que tu assarás,aîpó nde remixyrama
afastando o diabo,anhanga pe'abo
mina de ouro,itaîu-kûara
comedor de carne humana!,mba'e-poru!
já não quero viver neste mundo falso,n'aîkó-potari ymã ikó 'ara'uba pupé
matais,peîuká
vida eterna,tekobé-apyrasye'yma
os que acreditam em sonhos,mosaûsuba rerobîasara
arrepende-se muito de seus pecados em seu coração,omboasy-katu o angaîpaba o py'ape
"toda a aflição envolvendo o homem, enfim",opá tekotebẽ abá amana ko'yté
fiz-lhe cócegas,aîpokirik
acreditando no filho dela,i membyra rerobîá
"finalmente abre-se a terra engolindo-os, finalmente com o diabo vão os que pecam","teîpó yby oîe'apa, i mokona, teîpó anhanga irũnamo i angaîpaba'e osóbo"
é difícil para mim tentá-los,i abaí xébo sa'anga
eis que o tempo está para chuva,amãpytuna ã
dourei-o com ouro,aîmoîub itaîuba pupé
eu tenho o coração palpitante,xe py'a-tytyk
o limite de minha roça,xe kó robapy
"o que delata, o delator",kuaukasara
"eu sou uma jibóia, eu sou um socó, eu sou o grande tamoio aimbirê","xe îyboîa, xe sokó, xe tamuîusu aîmbiré"
mas não enfiará a gente a mão em sua boca para parti-lo?,nd'opo'ẽî xûé-tepe asé o îuru pupé i mbo'iragûama reséne?
"eu estou febril, eu tenho febre",xe akanunduk
pescador,îeporakasara
engolir-me-á por aí alguma cobra grande,xe mokõ kûepe mboîusu amõne
linha de pescar delgada,pindasã-po'i
ocupa-me tu,xe pûaî îepé
"enfeitando-se, querendo que as pessoas o desejem","oîemongatyrõmo, abá o potara potá"
não hei de deitar a perder a meu pai,amote'e umẽpe xe ruba ká
resisti-lhe,anheran i xupé
eu tenho o sangue escorrido,xe rugûy-syryk
"por se compadecer de mim, minh'alma faz firme","xe raûsubasápe, xe 'anga moteni"
cobrindo-o com seu véu,opîá o akangaobĩ pupé
curaste os doentes,eremombûeîrá mara'abora
"casa que seria, o que seria casa",okambûera
"como símbolo de sua união com ela, temos o casamento",sesé i nhemonanagûera ra'angabamo mendá îarekó
que chegue logo ao lugar em que o matarão,t'obasem esapy'a o îukaûãme
são muitos os peixes que são gostosos?,setápe pirá seba'e?
dentro dela está sua divindade?,i pupépe i tupã rekóû?
não mato,aîukae'ym
rejo pessoas,aporoerekó
para quem a gente reza pela felicidade futura de sua alma?,abá supépe asé îeruréû o 'anga rekokaturama resé?
pesco com rede,aîeporakar
"gozador, brincalhão, zombeteiro",nhemosaraîxûera
"em tuas mãos sentando-se, vai o menino, consolando-te","nde pópe ogûapyka, osó kunumĩ nde moapysyka"
vela por nós,ema'ẽngatu oré ri
"na ponta da rede, no punho da rede",api anhãî
"o que porta pestes, coisa pestilencial",mbabyîara
eu estou atolado,xe pykûab
tua excitação pelas coisas más,mba'e-poxy resé nde ara'a
tenho relações sexuais com ela,aîkó sesé
de onde? donde?,umã suí?
ficaste detendo contigo alguma pessoa?,ererokûé-rokûerype abá amõ?
"fica pondo armadilhas, querendo fazer a gente entrar","oîekotyrũ-tyrung, oporomoingé-potá"
ameaçaste alguém?,ereîmomburupe amõ?
tenho-o como meu par para dança,xe andaramo arekó
eu sou manchado,xe apŷab
"como o revolutear de um urubu sobre coisas fedorentas, tu voltas o rosto para trás","urubu mba'enema 'arybo nhemoîereba îabé, nde atybak"
para onde a multidão numerosíssima levou nosso senhor?,mamõpe erimba'e te'yî-katupabẽ îandé îara rerasóû?
constantemente,-mba'e-mba'eremepe asé îeruréû i xupé? -îepi nhẽ - em que ocasiões a gente reza para eles?
fez vir outrora alguma coisa boa do céu para seus discípulos?,oîmbourype erimba'e mba'e-katu amõ ybaka suí o boîaetá supé?
acreditas na dança do guajupiá?,ererobîarype gûaîupîá moraseîa?
não vens para me vingar?,nd'ereîuri xe repyka?
"cobrindo-o sua própria mãe, na verdade, com seu véu",i xy aé ipó opîá o akangaobĩ pupé
"e os cristãos transgressores da palavra de deus, que lhes sucede?","a'epe cristãos tupã nhe'enga abŷara, marã?"
é por isso que o batizais junto ao padre,aîporama resé é peîmongaraíb abaré pyri
"arruinei a todos, fazendo-os roubar também","aîmomoxy pabenhẽ, i momondarõmo bé"
eu estou inchado,xe pungá
"vem, coisa fedorenta!","eîori, mba'enem!"
tosei-o bem,aîmoapererá-katu nhote
"cura-se algumas vezes, segundo os desígnios de deus para a gente","opûerab amõnyme, tupã asé rerekokuapaba rupi é"
embarquei,a'ar
agi ordenadamente para que se quede em vós,peîkó-aturõ t'oby'ar pe ri
eis que a cada páscoa um prisioneiro fazeis-me libertar sempre,aretegûasu îabi'õ ã mundepora moîepé peîmosemukar ixébe îepi
amo-o em vão,asaûsub-a'ub
"assa-me o lourenço tostado, embora eu seja um rei","xe resy lorẽ-ka'ẽ, xe morubixaba biã"
vomitaste cauim quando te encheu?,ereîmoîebyrype kaûĩ nde poesemõneme?
"ah, quem me dera o tivesse matado!",aîukámo mã!
ainda estou de pé,a'ã bé
limpou seu rosto com um pano branco,osobá-syb aó-tinga pupé
tenta-nos demais o diabo?,asé ra'angetekatu anhanga?
eu sou agourento,xe morangygûan
minha embarcação,xe ruru
ficando a chacotear as pessoas,oporokurá-kurapa
"pelas costas, na ausência, à traição",kupébo
ajudando-os sempre,i pytybõmo îepi
"lembrai-vos do que se sofre no inferno para que, de modo nenhum, pequeis",penhemoma'enduá anhanga ratápe i porarapyra resé ta pe angaîpab umẽngatutenhẽ
"estando a destilar coisa quente, coisa muito amarga","mba'e-akuba, mba'e-robeté tukutuku okûapa"
estou desleixando,atumbé-tumbek
"atacamo-los, prendemo-los, antes que se consolem","îasepenhan, îaîpysyk, i apysyk' e'ymebé"
são pedro puxou a espada,s pedro itangapema osekyî
"finjo que o levo, faço que o levo",arasó-rasó-a'ub
afastará os que são maus dos que são bons?,oîpe'ape i angaîpaba'e i angaturamba'e suíne?
"miolo, tutano de osso",kanga putu'uma
recipientes de pólvora,mokaku'i-uru
com algumas coisas que são saborosas,amõ seba'e irũmo nhẽ
mandou trucidar as crianças habitantes da aldeia de belém e também as habitantes das vizinhanças dela,taba belém pora pitanga i amundaba pora abé apiti-ukari
"ah, excelente!","té, aûîé-katutenhẽ!"
como meus súditos em minhas mãos bem os tenho a todos,xe boîáramo pabẽ xe pópe arekó-katu
fiz-me homem,anhemoabá
"ah, oxalá eu sofresse por deus muitíssimos infortúnios!",aîporará temõ tupã resé mba'easy katupabẽ mã!
o aleijado de orelhas,nambi-asyka
deseja ardentemente ver o nascimento de seu filho que se gera em seu ventre,o membyra gûygépe onhemonhangyba'e 'arama osepîaka'ub
"carreirão, caminho pequeno para quem vai a pé",pé-mirĩ
ajuntai-vos todos com eles!,penheŷnhang pabẽ sesé!
"antigamente eu estava aflito, praticando meus vícios","akûeîme aîkotebẽ, xe rekopoxy purûabo"
hei de comer seus miolos,i 'aputu'uma t'a'u
irrito-me habitualmente,xe îemoŷrõndûer îá
dobrei-o,aîapapûar
firmei-o comigo,aroten
"eu não queria vir, irando os homens brancos","xe n'aîu-potari biã, karaíba moabaîtébo"
dentro daquele navio fazendo-os embarcar consigo também,a'e ygarusu pupé sero'arukáno
vós me matais,xe îuká peîepé
"tomaste, sem razão, alguma coisa de alguém?",ereîar tenhẽpe abá mba'e amõ?
o marido dela não temeu comê-lo,i mena nd'o'u-poûsubi
"o fujão, o que tem costume de fugir",kanhembora
eu não tenho boca cuidadosa,na xe îuruposykyîéî
"no caso de o desejares muito mesmo, que se faça","nde i potasábo-katu é, t'onhemonhang"
eu sou mocho,xe aterẽ
e também as esposas de seus filhos,ta'y-taty abé
"hei de ir junto de ti, hoje, para comer aqueles reis","t'asó nde pyri, kori, aîpó tubixaba gûabo"
"urdiste mentiras contra alguém, desonrando-o?",-eresekyîpe îuraragûaîa abá supé i motĩbyka?
conheceu sua autêntica bondade,oîkuab i marangatueté
"borbotão d'água, água que brota para cima",y-bura
eu tenho diarréia,xe rebykasy
eu tenho casca erguida,xe pé-bur
vergôntea de cará,kará-embó
celebrando a missa para a gente,missa ra'anga asébe
hospedar os peregrinos,atara mombytá
oxalá ele não tivesse coisas boas!,n'i mba'e-katuî xûé-temo ahẽ mã!
estavas realmente dormindo?,ereké-pipó eîupa?
sendo mau,o angaîpabamo
com seu próprio irmão não pode ninguém se casar,o kybyra resé nd'e'ikatuî abá omendá
"estava longe tua lembrança das coisas, estando a devanear?",oîkó kûepe mba'e resé nde ma'enduara enhemongetábo ekupa?
vou frequentemente,asó py'i
suas almas e seus corpos fez,i 'anga seté monhangi
escorei-o,aîokok
eis que veio o que me entregará,aîpó xe me'engarama ruri
ficando a aumentar teu temor também,nde nheangûaba bé irumõ-rumõmo
vinde para pranteá-lo ao entrar ele em vós,peîori sapirõagûama resé pe pupé seîkéreme
"depois disto, guarda-te de ser mau",angyba'e roîré teumẽ nde poxyramo
eh! onde ele está?,tó! mamõpe ahẽ rekóû?
pensa em vir para vos espantar,oú-mo'ang pe mondyîa
"os que foram seus companheiros, seus ex-companheiros",irũmbûera
elas são muito altas?,iîybaté-katupe?
ofendeste tua avó?,ereîanga'ope nde aryîa?
o que enforcou gente,moroîubykarûera
acariciaste tua namorada com quem brincaste desonestamente?,ereîmomorangype nde kunhã'yba nde i moîaruagûera?
se eu arrotar,xe eúme
"no seu próprio ombro levanta a cruz de fraqueza, jesus fá-la cair consigo","o ati'yba ri krusá osupi membeka suí, îesu sero'ari"
levantadoras de mentiras,mo'ema mopu'ambara
"como a gente faz à tarde, antes de dormir?","marãpe asé rekóû karukeme, o ker-y îanondé?"
que se acautelem futuramente os habitantes da terra para que não creiam nele,t'onhemosako'i irã yby pora t'ogûerobîar umẽ
"e, por outra parte, semelhantemente, o próprio mar será mais terrível do que foi seu costume",kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
"ah, quem me dera comer veneno para que eu morresse!",a'u temõ mba'eaíba mã a'emo nhẽ xe re'õû
a respeito dele lembrando-se,sesé oma'enduaramo
"e não confessando ser parente verdadeira de seu marido, que acontece?","a'epe o mena mũetéramo sekó mombe'ue'yma, marã?"
"dormes, guaixará?","ereképe, gûaîxará?"
"não me chames pelo nome diante dele, senão me mata!","xe renõî umẽ îepé i xupé, na xe îukáî!"
lanço puçá,apysá-îtyk
"quem mais não o transgride, não jejuando?",-abá abépe nd'oîabyî oîekuakube'yma?
por acaso é o lourenço tostado?,rorẽ-ka'ẽ-piã?
espalham pelas aldeias homens que pregam às pessoas,apŷaba abá mombegûara oîmosãî taba rupi
não tendo nojo de mim,xe suí oîegûarue'yma
"deus te fez viver, guardando-te, não somente por uma semana, não somente por um ano, mas por muitos anos","nde moingobé tupã, nde rerekóbo n'oîepé îasy nhõ ruã, n'oîepé seîxu nhõ ruã, setá nhẽ seîxu-te"
pensaste nalguma mulher?,nde py'anhemongetápe kunhã amõ resé?
amarrei-lhe as pernas,aîkupy-pûar
"para confortar a tua alma, nós o ficamos abraçando","nde 'anga moapysykápe, oroîaîubã-îubã"
segura-o por enquanto,eîpysyk ranhẽ
hei de mexer hoje as igaçabas,t'aîpobu kori ygasaba
rapazes muito fortes,kunumĩûasu-atã-atã
a ti suspiramos,ndebe oronheangerur
fiquei-a beliscando,aîpĩ-pin
o homem que comete furto de algo,abá mba'e resé omondarõba'e
trazendo algumas linhazinhas,inimbó'i amõ reru
hei de reavivar a velha guerra,t'aîopũne marandûera
"caiu a chuva sem parar, enchendo o mar, levantando-o bem acima do cume das montanhas","okyr ko'ẽ-ko'ẽ amana, paranã mopungábo, ybytyra apyra sosé-katu i mopu'ama"
são muitas as coisas que são causa de impossibilitar os casamentos,setá mba'e mendara moabaipaba
obedeceremos a suas palavras quando ele determinar a respeito do futuro procedimento de nossa alma?,"osapîápe asé i nhe'enga, o 'anga rekorama resé o moingóremene?"
ide depressa!,pekûá esapy'a!
meu senhor me mata,xe îuká xe îara
"importuna-me bem, irritando-me muitíssimo, aquela lei nova","xe moaîu-marangatu, xe moŷrõ-etekatûabo, aîpó tekó-pysasu"
elas estão sempre cheias,tynysẽ memẽ
"logo depois de dizerem aquilo para ele, lançou o pagamento por seu senhor no templo","aîpó oîoupé 'é abé, o îara repypûera reîtyki tupãokype"
assim deve de ser,emonã ruãpe rĩ
para fazer-te festa minha família fez-me vir,ndebo toryba monhanga xe anama xe mbouri
"o que é viúvo, o viúvo",seremirekoe'õba'e
"por isso mesmo alguém, antes de se casar, confessa-se de seus pecados",nd'e'i te'e abá o mendá îanondé onhemombegûabo o angaîpagûera resé
recusando uma criança,pitanga kuakupa
"argumentei contra suas palavras, em vão",aînhe'engapypyk îepé
"depois disso, os malvados estão alta noite atacando pelas costas os maridos das mulheres","a'e ré, moxy rekóû pysaîé kunhã mena kupea'pa"
as criancinhas também têm somente o pecado de nosso pai primeiro,pitangĩ abé îandé rubypy angaîpaba nhõ ogûerekó
"quando o sol estava no alto de nossas cabeças, eu vim","asé 'apyterype 'ara ruî - no alto de nossas cabeças o sol está îandé 'apytera 'arybo 'ara rume, xe ruri"
ele é bom se o que é contado é mesmo verdade,i marangatu supi é i mombe'upyra rekóreme é
"não existem mais absolutamente suas antigas terras todas, há tempos, não contêm muita coisa",n'i tyb-angáî setãmbûera opá akûeîme n'i poretáî
não! meu quinhão és tu!,aã! xe potaba nde!
comendo-o ansiosamente sempre,korikoria'u i gûabo îepi
para cima suas pernas mandou pregar,ybaté koty ogûetymã moîarukari
sorvi o caldo,aîty-kukur
não querendo repetir seu pecado que ele detestava,o angaîpagûera o emieroŷrõagûera reroîeby-potare'yma
"atravessando o céu, foi, deixando-te","ybaka rasapa, osó, nde reîá"
revezamo-nos uns com os outros,oroîoporu
sendo mãe de deus é que ela é a causa verdadeira da bondade dele,tupã syramo oîkóbo é i angaturambabetéramo sekóû
creio na descida dele para o meio da terra,arobîar yby apyterype i gûeîybagûera
